,PCT023003,NAME,state,place
1,157,"Home CDP, Kansas",20,32875
2,344,"Hope city, Kansas",20,33075
3,1466,"Horton city, Kansas",20,33200
4,653,"Howard city, Kansas",20,33250
5,1159,"Hoxie city, Kansas",20,33350
6,572,"Hoyt city, Kansas",20,33375
7,129,"Hudson city, Kansas",20,33400
8,3396,"Hugoton city, Kansas",20,33425
9,53,"Huron city, Kansas",20,33575
10,1835,"Humboldt city, Kansas",20,33450
11,62,"Hunnewell city, Kansas",20,33500
12,56,"Hunter city, Kansas",20,33525
13,36968,"Hutchinson city, Kansas",20,33625
14,7981,"Independence city, Kansas",20,33875
15,267,"Ingalls city, Kansas",20,34225
16,1322,"Inman city, Kansas",20,34275
17,5211,"Iola city, Kansas",20,34300
18,87,"Isabel city, Kansas",20,34550
19,835,"Jetmore city, Kansas",20,35450
20,158,"Iuka city, Kansas",20,34625
21,279,"Jamestown city, Kansas",20,34975
22,95,"Jennings city, Kansas",20,35375
23,405,"Jewell city, Kansas",20,35475
24,1185,"Johnson City city, Kansas",20,35600
25,619,"West Buechel city, Kentucky",21,81624
26,768,"West Point city, Kentucky",21,81930
27,257,"Westport CDP, Kentucky",21,81948
28,680,"Wheelwright city, Kentucky",21,82272
29,4625,"Westwood CDP, Kentucky",21,82146
30,563,"Westwood city, Kentucky",21,82164
31,151,"Wheatcroft city, Kentucky",21,82200
32,862,"White Plains city, Kentucky",21,82722
33,2094,"Whitesburg city, Kentucky",21,82776
34,536,"Whitesville city, Kentucky",21,82830
35,1140,"Whitley City CDP, Kentucky",21,82938
36,627,"Wickliffe city, Kentucky",21,83064
37,2868,"Wilder city, Kentucky",21,83172
38,276,"Willisburg city, Kentucky",21,83424
39,254,"Wildwood city, Kentucky",21,83208
40,4920,"Williamsburg city, Kentucky",21,83334
41,3757,"Williamstown city, Kentucky",21,83406
42,3354,"Wilmore city, Kentucky",21,83550
43,16113,"Winchester city, Kentucky",21,83676
44,2248,"Windy Hills city, Kentucky",21,83784
45,563,"Wingo city, Kentucky",21,83856
46,343,"Woodburn city, Kentucky",21,84414
47,89,"Woodbury city, Kentucky",21,84432
