,H011001,H011004,NAME,state,place
1,160,27,"Home CDP, Kansas",20,32875
2,368,75,"Hope city, Kansas",20,33075
3,1743,691,"Horton city, Kansas",20,33200
4,647,148,"Howard city, Kansas",20,33250
5,1168,264,"Hoxie city, Kansas",20,33350
6,669,126,"Hoyt city, Kansas",20,33375
7,129,26,"Hudson city, Kansas",20,33400
8,3832,956,"Hugoton city, Kansas",20,33425
9,54,16,"Huron city, Kansas",20,33575
10,1931,496,"Humboldt city, Kansas",20,33450
11,67,9,"Hunnewell city, Kansas",20,33500
12,57,6,"Hunter city, Kansas",20,33525
13,39230,13548,"Hutchinson city, Kansas",20,33625
14,9272,3393,"Independence city, Kansas",20,33875
15,306,85,"Ingalls city, Kansas",20,34225
16,1255,238,"Inman city, Kansas",20,34275
17,5385,2035,"Iola city, Kansas",20,34300
18,90,7,"Isabel city, Kansas",20,34550
19,853,187,"Jetmore city, Kansas",20,35450
20,163,31,"Iuka city, Kansas",20,34625
21,286,49,"Jamestown city, Kansas",20,34975
22,96,7,"Jennings city, Kansas",20,35375
23,432,90,"Jewell city, Kansas",20,35475
24,1448,347,"Johnson City city, Kansas",20,35600
25,1230,1064,"West Buechel city, Kentucky",21,81624
26,797,335,"West Point city, Kentucky",21,81930
27,268,40,"Westport CDP, Kentucky",21,81948
28,571,139,"Wheelwright city, Kentucky",21,82272
29,4608,1171,"Westwood CDP, Kentucky",21,82146
30,634,44,"Westwood city, Kentucky",21,82164
31,160,20,"Wheatcroft city, Kentucky",21,82200
32,884,156,"White Plains city, Kentucky",21,82722
33,1945,837,"Whitesburg city, Kentucky",21,82776
34,552,150,"Whitesville city, Kentucky",21,82830
35,1090,549,"Whitley City CDP, Kentucky",21,82938
36,688,226,"Wickliffe city, Kentucky",21,83064
37,3035,812,"Wilder city, Kentucky",21,83172
38,253,50,"Willisburg city, Kentucky",21,83424
39,261,31,"Wildwood city, Kentucky",21,83208
40,4093,2133,"Williamsburg city, Kentucky",21,83334
41,3542,1345,"Williamstown city, Kentucky",21,83406
42,2577,1356,"Wilmore city, Kentucky",21,83550
43,18087,8104,"Winchester city, Kentucky",21,83676
44,2385,132,"Windy Hills city, Kentucky",21,83784
45,632,165,"Wingo city, Kentucky",21,83856
46,305,62,"Woodburn city, Kentucky",21,84414
47,90,12,"Woodbury city, Kentucky",21,84432
48,1609,225,"Worthington city, Kentucky",21,84864
49,696,128,"Woodland Hills city, Kentucky",21,84486
50,222,21,"Woodlawn city, Kentucky",21,84522
51,942,108,"Woodlawn Park city, Kentucky",21,84576
52,1446,263,"Worthington Hills city, Kentucky",21,84891
53,185,73,"Worthville city, Kentucky",21,84900
54,887,169,"Wurtland city, Kentucky",21,85008
55,11903,5574,"Abbeville city, Louisiana",22,00100
56,2365,415,"Abita Springs town, Louisiana",22,00240
57,2672,1243,"Arcadia town, Louisiana",22,02655
58,3630,1131,"Arabi CDP, Louisiana",22,02550
59,3593,933,"Addis town, Louisiana",22,00415
60,249,46,"Athens village, Louisiana",22,03320
61,3842,1179,"Ball town, Louisiana",22,04055
62,4954,1035,"Avondale CDP, Louisiana",22,03810
63,13703,4178,"Baker city, Louisiana",22,03985
64,1088,439,"Albany village, Louisiana",22,00835
65,251,50,"Angie village, Louisiana",22,02165
66,2416,464,"Baldwin town, Louisiana",22,04020
67,45367,21015,"Alexandria city, Louisiana",22,00975
68,3485,1297,"Amite City town, Louisiana",22,01885
69,269,38,"Ashland village, Louisiana",22,03145
70,12290,4547,"Falls Church city, Virginia",51,27200
71,237,56,"Fancy Gap CDP, Virginia",51,27296
72,5734,3678,"Farmville town, Virginia",51,27440
73,1023,339,"Ferrum CDP, Virginia",51,27712
74,879,196,"Fieldale CDP, Virginia",51,27744
75,255,87,"Fincastle town, Virginia",51,27824
76,6990,1606,"Fishersville CDP, Virginia",51,27968
77,209,78,"Flint Hill CDP, Virginia",51,28496
78,6755,6727,"Fort Belvoir CDP, Virginia",51,29008
79,8375,440,"Floris CDP, Virginia",51,28528
80,425,190,"Floyd town, Virginia",51,28544
81,9093,1575,"Forest CDP, Virginia",51,28688
82,939,231,"Fort Chiswell CDP, Virginia",51,29040
83,15946,1436,"Fort Hunt CDP, Virginia",51,29136
84,3146,3129,"Fort Lee CDP, Virginia",51,29152
85,18239,4787,"Franconia CDP, Virginia",51,29552
86,8453,4207,"Franklin city, Virginia",51,29600
87,19288,1348,"Franklin Farm CDP, Virginia",51,29628
88,14090,5776,"Front Royal town, Virginia",51,29968
89,21690,13161,"Fredericksburg city, Virginia",51,29744
90,193,48,"Free Union CDP, Virginia",51,29840
91,484,145,"Fries town, Virginia",51,29920
92,11481,2115,"Gainesville CDP, Virginia",51,30176
93,6665,2435,"Galax city, Virginia",51,30208
94,381,58,"Gargatha CDP, Virginia",51,30384
95,481,70,"Gasburg CDP, Virginia",51,30480
96,2034,566,"Gate City town, Virginia",51,30496
97,4768,788,"George Mason CDP, Virginia",51,30618
98,1456,350,"Glade Spring town, Virginia",51,31056
99,1133,317,"Glasgow town, Virginia",51,31136
100,2585,743,"Gloucester Courthouse CDP, Virginia",51,31608
101,14754,3013,"Glen Allen CDP, Virginia",51,31200
102,115,43,"Glen Lyn town, Virginia",51,31376
103,728,337,"Glenvar CDP, Virginia",51,31488
104,9402,2479,"Gloucester Point CDP, Virginia",51,31616
105,861,131,"Goochland CDP, Virginia",51,31808
106,1496,553,"Gordonsville town, Virginia",51,31936
107,361,136,"Goshen town, Virginia",51,31968
108,937,105,"Gratton CDP, Virginia",51,32320
109,15427,879,"Great Falls CDP, Virginia",51,32496
110,192,46,"Greenbackville CDP, Virginia",51,32560
111,8155,2771,"Greenbriar CDP, Virginia",51,32592
112,884,317,"Humansville city, Missouri",29,33706
113,336,61,"Hume town, Missouri",29,33724
114,184,52,"Hunnewell city, Missouri",29,33760
115,168,44,"Hunter CDP, Missouri",29,33778
116,334,32,"Huntleigh city, Missouri",29,33850
117,31,12,"Huntsdale town, Missouri",29,33868
118,1451,399,"Huntsville city, Missouri",29,33886
119,163,30,"Hurdland city, Missouri",29,33904
120,178,36,"Hurley city, Missouri",29,33922
121,115605,37697,"Independence city, Missouri",29,35000
122,45,16,"Iatan village, Missouri",29,34210
123,736,249,"Iberia city, Missouri",29,34228
124,4702,621,"Imperial CDP, Missouri",29,34354
125,528,118,"Indian Point village, Missouri",29,35186
126,552,15,"Innsbrook village, Missouri",29,35240
127,88,31,"Ionia town, Missouri",29,35306
128,18,0,"Irena village, Missouri",29,35324
129,445,83,"Irondale city, Missouri",29,35396
130,13543,3820,"Jackson city, Missouri",29,35648
131,737,138,"Iron Mountain Lake city, Missouri",29,35450
132,1412,496,"Ironton city, Missouri",29,35468
133,69,10,"Irwin CDP, Missouri",29,35486
134,151,15,"Jacksonville village, Missouri",29,36224
135,133,60,"Jameson town, Missouri",29,36314
136,524,195,"Jamesport city, Missouri",29,36332
137,386,85,"Jamestown town, Missouri",29,36368
138,931,297,"Jasper city, Missouri",29,36512
139,38115,14288,"Jefferson City city, Missouri",29,37000
140,376,27,"Josephville village, Missouri",29,37700
141,14672,6201,"Jennings city, Missouri",29,37178
142,228,40,"Jerico Springs village, Missouri",29,37214
143,48162,21086,"Joplin city, Missouri",29,37592
144,327,200,"Junction City village, Missouri",29,37736
145,1988,609,"Kahoka city, Missouri",29,37790
146,450975,183460,"Kansas City city, Missouri",29,38000
147,8381,1699,"Kearney city, Missouri",29,38072
148,586,79,"Kelso village, Missouri",29,38216
149,1862,500,"Three Forks city, Montana",30,73975
150,108,18,"Toston CDP, Montana",30,74500
151,1826,529,"Townsend city, Montana",30,74575
152,539,114,"Trego CDP, Montana",30,74725
153,242,63,"Trout Creek CDP, Montana",30,74950
154,938,323,"Troy city, Montana",30,75025
155,306,55,"Turah CDP, Montana",30,75175
156,61,19,"Turner CDP, Montana",30,75250
157,209,144,"Turtle Lake CDP, Montana",30,75287
158,658,100,"Vaughn CDP, Montana",30,76675
159,375,84,"Twin Bridges town, Montana",30,75475
160,639,68,"Ulm CDP, Montana",30,75775
161,509,117,"Valier town, Montana",30,76225
162,745,281,"Victor CDP, Montana",30,76900
163,190,40,"Virginia City town, Montana",30,77125
164,675,134,"Walkerville town, Montana",30,77650
165,83,9,"Weeksville CDP, Montana",30,78775
166,168,38,"Westby town, Montana",30,78925
167,227,47,"West Glacier CDP, Montana",30,79075
168,1271,744,"West Yellowstone town, Montana",30,79525
169,1948,295,"West Glendive CDP, Montana",30,79086
170,316,35,"West Havre CDP, Montana",30,79098
171,365,65,"West Kootenai CDP, Montana",30,79105
172,568,65,"Wheatland CDP, Montana",30,79695
173,6264,2766,"Whitefish city, Montana",30,79825
174,1038,353,"Whitehall town, Montana",30,79900
175,577,142,"White Haven CDP, Montana",30,79935
176,922,210,"White Sulphur Springs city, Montana",30,80050
177,64,40,"Whitewater CDP, Montana",30,80200
178,565,162,"Wibaux town, Montana",30,80350
179,210,88,"Willow Creek CDP, Montana",30,80800
180,37835,12846,"Prescott city, Arizona",04,57380
181,788,68,"Queen Valley CDP, Arizona",04,58290
182,38613,14113,"Prescott Valley town, Arizona",04,57450
183,3595,598,"Quartzsite town, Arizona",04,58010
184,26345,5416,"Queen Creek town, Arizona",04,58150
185,968,352,"Rainbow City CDP, Arizona",04,58620
186,625,193,"Rancho Mesa Verde CDP, Arizona",04,58870
187,480,419,"Red Mesa CDP, Arizona",04,59550
188,169,12,"Red Rock CDP (Apache County), Arizona",04,59760
189,2169,259,"Red Rock CDP (Pinal County), Arizona",04,59770
190,97,40,"Rillito CDP, Arizona",04,59900
191,5139,389,"Rincon Valley CDP, Arizona",04,60120
192,18962,3381,"Rio Rico CDP, Arizona",04,60180
193,20,5,"Roosevelt CDP, Arizona",04,61300
194,1811,39,"Rio Verde CDP, Arizona",04,60250
195,50,3,"Rock House CDP, Arizona",04,60770
196,642,135,"Rock Point CDP, Arizona",04,60880
197,414,153,"Rough Rock CDP, Arizona",04,61370
198,789,105,"Round Rock CDP, Arizona",04,61440
199,474,54,"Round Valley CDP, Arizona",04,61448
200,74,29,"Rye CDP, Arizona",04,61690
201,169,117,"Sacate Village CDP, Arizona",04,61715
202,2450,1211,"Sacaton CDP, Arizona",04,61720
203,541,129,"Sacaton Flats Village CDP, Arizona",04,61800
204,25196,4409,"Sahuarita town, Arizona",04,62140
205,9612,384,"Saddlebrooke CDP, Arizona",04,61940
206,3375,846,"St. Johns city, Arizona",04,62350
207,9322,2987,"Safford city, Arizona",04,62000
208,1699,441,"St. David CDP, Arizona",04,62280
209,476,111,"St. Johns CDP, Arizona",04,62362
210,1379,150,"St. Michaels CDP, Arizona",04,62420
211,1530,248,"Salome CDP, Arizona",04,62700
212,4038,1093,"San Carlos CDP, Arizona",04,62910
213,630,366,"Sanders CDP, Arizona",04,63050
214,506,103,"San Jose CDP, Arizona",04,63260
