,H002001,H002002,NAME,state,place
1,74,0,"Home CDP, Kansas",20,32875
2,192,0,"Hope city, Kansas",20,33075
3,904,0,"Horton city, Kansas",20,33200
4,415,0,"Howard city, Kansas",20,33250
5,605,0,"Hoxie city, Kansas",20,33350
6,269,0,"Hoyt city, Kansas",20,33375
7,66,0,"Hudson city, Kansas",20,33400
8,1560,1548,"Hugoton city, Kansas",20,33425
9,25,0,"Huron city, Kansas",20,33575
10,923,0,"Humboldt city, Kansas",20,33450
11,41,0,"Hunnewell city, Kansas",20,33500
12,61,0,"Hunter city, Kansas",20,33525
13,18580,18427,"Hutchinson city, Kansas",20,33625
14,4528,4513,"Independence city, Kansas",20,33875
15,121,0,"Ingalls city, Kansas",20,34225
16,566,0,"Inman city, Kansas",20,34275
17,2636,2546,"Iola city, Kansas",20,34300
18,47,0,"Isabel city, Kansas",20,34550
19,439,0,"Jetmore city, Kansas",20,35450
20,83,0,"Iuka city, Kansas",20,34625
21,148,0,"Jamestown city, Kansas",20,34975
22,89,0,"Jennings city, Kansas",20,35375
23,251,0,"Jewell city, Kansas",20,35475
24,609,0,"Johnson City city, Kansas",20,35600
25,589,589,"West Buechel city, Kentucky",21,81624
26,425,0,"West Point city, Kentucky",21,81930
27,151,0,"Westport CDP, Kentucky",21,81948
28,295,0,"Wheelwright city, Kentucky",21,82272
29,2104,2063,"Westwood CDP, Kentucky",21,82146
30,218,218,"Westwood city, Kentucky",21,82164
31,75,0,"Wheatcroft city, Kentucky",21,82200
32,385,0,"White Plains city, Kentucky",21,82722
33,1005,0,"Whitesburg city, Kentucky",21,82776
34,247,0,"Whitesville city, Kentucky",21,82830
35,530,0,"Whitley City CDP, Kentucky",21,82938
36,355,0,"Wickliffe city, Kentucky",21,83064
37,1452,1452,"Wilder city, Kentucky",21,83172
38,120,0,"Willisburg city, Kentucky",21,83424
39,115,115,"Wildwood city, Kentucky",21,83208
40,2007,1878,"Williamsburg city, Kentucky",21,83334
41,1487,983,"Williamstown city, Kentucky",21,83406
42,1236,1236,"Wilmore city, Kentucky",21,83550
43,8454,8454,"Winchester city, Kentucky",21,83676
44,1170,1170,"Windy Hills city, Kentucky",21,83784
45,276,0,"Wingo city, Kentucky",21,83856
46,132,0,"Woodburn city, Kentucky",21,84414
47,43,0,"Woodbury city, Kentucky",21,84432
48,681,681,"Worthington city, Kentucky",21,84864
49,294,294,"Woodland Hills city, Kentucky",21,84486
50,98,98,"Woodlawn city, Kentucky",21,84522
51,432,432,"Woodlawn Park city, Kentucky",21,84576
52,630,630,"Worthington Hills city, Kentucky",21,84891
53,85,0,"Worthville city, Kentucky",21,84900
54,437,419,"Wurtland city, Kentucky",21,85008
55,5257,5168,"Abbeville city, Louisiana",22,00100
56,1069,905,"Abita Springs town, Louisiana",22,00240
57,1217,1166,"Arcadia town, Louisiana",22,02655
58,1918,1918,"Arabi CDP, Louisiana",22,02550
59,1441,1356,"Addis town, Louisiana",22,00415
60,140,0,"Athens village, Louisiana",22,03320
61,1620,1389,"Ball town, Louisiana",22,04055
62,1811,1692,"Avondale CDP, Louisiana",22,03810
63,5314,5228,"Baker city, Louisiana",22,03985
64,483,448,"Albany village, Louisiana",22,00835
65,123,0,"Angie village, Louisiana",22,02165
66,964,930,"Baldwin town, Louisiana",22,04020
67,20366,20305,"Alexandria city, Louisiana",22,00975
68,1502,1499,"Amite City town, Louisiana",22,01885
69,154,0,"Ashland village, Louisiana",22,03145
70,5489,5489,"Falls Church city, Virginia",51,27200
71,152,0,"Fancy Gap CDP, Virginia",51,27296
72,2885,2509,"Farmville town, Virginia",51,27440
73,534,0,"Ferrum CDP, Virginia",51,27712
