GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C02_001E,S1901_C02_001M,S1901_C03_001E,S1901_C03_001M,S1901_C04_001E,S1901_C04_001M,S1901_C01_002E,S1901_C01_002M,S1901_C02_002E,S1901_C02_002M,S1901_C03_002E,S1901_C03_002M,S1901_C04_002E,S1901_C04_002M,S1901_C01_003E,S1901_C01_003M,S1901_C02_003E,S1901_C02_003M,S1901_C03_003E,S1901_C03_003M,S1901_C04_003E,S1901_C04_003M,S1901_C01_004E,S1901_C01_004M,S1901_C02_004E,S1901_C02_004M,S1901_C03_004E,S1901_C03_004M,S1901_C04_004E,S1901_C04_004M,S1901_C01_005E,S1901_C01_005M,S1901_C02_005E,S1901_C02_005M,S1901_C03_005E,S1901_C03_005M,S1901_C04_005E,S1901_C04_005M,S1901_C01_006E,S1901_C01_006M,S1901_C02_006E,S1901_C02_006M,S1901_C03_006E,S1901_C03_006M,S1901_C04_006E,S1901_C04_006M,S1901_C01_007E,S1901_C01_007M,S1901_C02_007E,S1901_C02_007M,S1901_C03_007E,S1901_C03_007M,S1901_C04_007E,S1901_C04_007M,S1901_C01_008E,S1901_C01_008M,S1901_C02_008E,S1901_C02_008M,S1901_C03_008E,S1901_C03_008M,S1901_C04_008E,S1901_C04_008M,S1901_C01_009E,S1901_C01_009M,S1901_C02_009E,S1901_C02_009M,S1901_C03_009E,S1901_C03_009M,S1901_C04_009E,S1901_C04_009M,S1901_C01_010E,S1901_C01_010M,S1901_C02_010E,S1901_C02_010M,S1901_C03_010E,S1901_C03_010M,S1901_C04_010E,S1901_C04_010M,S1901_C01_011E,S1901_C01_011M,S1901_C02_011E,S1901_C02_011M,S1901_C03_011E,S1901_C03_011M,S1901_C04_011E,S1901_C04_011M,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C03_012M,S1901_C04_012E,S1901_C04_012M,S1901_C01_013E,S1901_C01_013M,S1901_C02_013E,S1901_C02_013M,S1901_C03_013E,S1901_C03_013M,S1901_C04_013E,S1901_C04_013M,S1901_C01_014E,S1901_C01_014M,S1901_C02_014E,S1901_C02_014M,S1901_C03_014E,S1901_C03_014M,S1901_C04_014E,S1901_C04_014M,S1901_C01_015E,S1901_C01_015M,S1901_C02_015E,S1901_C02_015M,S1901_C03_015E,S1901_C03_015M,S1901_C04_015E,S1901_C04_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_016E,S1901_C02_016M,S1901_C03_016E,S1901_C03_016M,S1901_C04_016E,S1901_C04_016M
id,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households MOE!!Total,Estimate!!Families!!Total,Margin of Error!!Families MOE!!Total,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families MOE!!Total,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households MOE!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households MOE!!Median income (dollars),Estimate!!Families!!Median income (dollars),Margin of Error!!Families MOE!!Median income (dollars),Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families MOE!!Median income (dollars),Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households MOE!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households MOE!!Mean income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families MOE!!Mean income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families MOE!!Mean income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households MOE!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1600000US0485540,"Yuma city, Arizona",35548,2020,26641,1554,N,N,8907,1386,8.1,2.3,6.7,2.7,N,N,12.2,5.3,6,2.2,5.6,2.7,N,N,7.2,4.3,11.4,2.9,8.9,3.6,N,N,21.5,6.7,10.6,3.7,10.6,4.9,N,N,8.7,4.2,15,3.5,15.3,4.2,N,N,16.6,7.2,20.1,4.5,22.7,5.6,N,N,14.1,5.1,12.6,3.2,13.2,3.6,N,N,9.5,6.8,10,2.6,9.7,2.5,N,N,8.3,8,4.1,1.4,5.1,1.9,N,N,1.1,1.4,1.9,0.8,2.2,1.1,N,N,0.9,1,47929,7930,52058,6008,59377,6073,35164,6361,60626,3884,64595,4645,N,N,45066,7986,36.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.1,(X)
1600000US0616000,"Concord city, California",49444,2411,31353,1588,N,N,18091,2450,4.5,1.8,2.6,1.4,N,N,7.8,4.4,3.5,1.6,1.7,1.4,N,N,7.2,3.4,6.9,2.5,6,3.3,N,N,9.4,3.9,5.8,2.1,7.1,2.8,N,N,4.2,2.2,8,2.3,7,2.3,N,N,11.2,4.4,13.9,2.5,11.8,2.9,N,N,20.4,5.1,13.9,2.5,13.3,3.2,N,N,13.1,4,19.3,3.3,23.9,4.3,N,N,10.7,4,12.2,2.6,12.4,3,N,N,9.9,4.8,12,2.4,14.2,3.4,N,N,6.1,3.2,91185,5311,100521,6909,114483,6099,61924,7959,109364,7961,120003,10244,N,N,83064,12858,35.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),37,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X)
1600000US0620802,"East Los Angeles CDP, California",30851,1908,24497,1677,14482,1546,6354,1286,7,2.3,5.9,2.4,1.9,1.7,14,6.4,6.4,2,3.5,1.8,2.3,2,20.4,5.9,10.5,2.7,8.9,2.7,6.5,3.1,18.6,6.8,14.3,3.1,13.3,3.3,13.7,4.2,20.4,6.9,14.7,2.8,15,3.1,16.2,4.1,10.6,5.4,17.8,2.6,21.4,3.3,20.4,4.7,6.4,4.1,10.9,2.5,12.7,3.1,16.1,5,3.7,3,15,3,15.6,3.5,17.6,4.4,4.2,4.1,1.5,0.9,1.6,1,2.5,1.6,1,1.6,1.9,1.1,2.1,1.3,2.9,2,0.8,0.9,45938,5378,55112,6877,62261,8478,22424,5837,60492,4187,65211,4897,N,N,32008,5764,35.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.5,(X)
1600000US0621712,"El Cajon city, California",33153,1667,23520,1246,15396,1332,9633,1734,6.8,2.3,6.1,2.8,6.9,3.7,11.5,4.7,7.4,2.7,6.5,3,6.9,3.9,9.9,4.9,7.7,2.5,6,2.4,6.5,3.3,11.2,6.3,8.4,2.6,8.6,3.4,6.5,3.4,11,5.6,14.8,3.4,13.8,4,10,4.7,19.1,6.9,17.9,2.9,19.3,3.7,17.1,3.9,14.3,5.6,13.8,3.5,12.9,4.4,16.1,5.7,10.3,4.8,11.9,2.8,13.8,3.8,14.6,4.8,7.5,4.2,6.5,2.2,7.8,2.7,8.3,2.9,1.1,1.4,4.9,1.9,5.2,2.1,7.1,2.9,4.1,3.2,52691,4303,58793,9952,67422,13916,39882,2786,75536,7712,80482,9258,N,N,57235,10249,37.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),45.7,(X)
1600000US0650258,"Napa city, California",28245,1189,18954,1178,N,N,9291,1251,3.8,1.7,1.8,1.4,N,N,7.9,5.1,0.8,0.5,0,1,N,N,2.4,1.6,8.3,2.2,6.8,2.9,N,N,12.1,3.9,7,2,5.8,2.7,N,N,12.2,3.8,8.3,2.6,6.2,2.7,N,N,11.4,3.8,17.2,3.3,17.1,4.4,N,N,16.7,5.3,13.8,3,16,4.1,N,N,10.9,4,20.4,3.5,22.8,4.7,N,N,13.7,4.3,11.4,2.3,12,3.2,N,N,9.2,3.8,8.9,1.9,11.4,2.8,N,N,3.5,2.7,84200,4957,95675,5526,109139,8421,54307,6813,101709,5766,113614,7629,N,N,74118,9982,33.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),33,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.2,(X)
1600000US0668378,"San Ramon city, California",26474,1163,20852,1057,N,N,5622,1214,3,1.9,0.8,0.9,N,N,12.6,8.8,1.7,1.3,0.5,0.6,N,N,6.4,5.5,2.8,1.6,1.4,1.1,N,N,7.9,5.5,2.8,1.4,1.7,1.3,N,N,7,4.6,4.6,2.1,4,2,N,N,7.2,4.8,8.2,2.8,7.2,3.1,N,N,11.9,6.4,5.8,2,5.5,2.1,N,N,7.2,5.1,13.2,3.6,12.7,4,N,N,13.5,7.4,14.7,3.2,16.6,4,N,N,7.7,5.4,43.1,4.6,49.7,5.2,N,N,18.7,7.8,175974,16477,199194,13939,203083,12271,71198,20735,195087,11855,212688,12816,N,N,128028,36698,23.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.5,(X)
1600000US0682954,"Visalia city, California",42729,2126,30804,1415,N,N,11925,2215,4.5,1.6,3.3,1.8,N,N,7.7,4.1,3.4,1.1,2.9,1.6,N,N,6.7,3.4,9.6,2.6,8.4,3,N,N,14.8,4.8,9,2.2,8.5,2.6,N,N,11,4.4,11.8,3.4,11.5,4.1,N,N,10.5,4.2,19.3,4,16.9,3.9,N,N,29.2,10.2,12.6,3.1,13.6,3.8,N,N,8.5,4.6,15.8,3.7,17.5,4.1,N,N,6.6,5,6.3,2.2,7.8,3.1,N,N,2,1.8,7.7,3,9.6,4.2,N,N,3,2.8,63737,8214,72296,6845,80946,15204,48821,10444,90041,9438,100271,13379,N,N,58989,9460,51.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),53.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),46.3,(X)
1600000US0832155,"Greeley city, Colorado",37835,1649,24197,1452,N,N,13638,1636,8,2.3,5.7,2.8,N,N,13.3,4,5.6,2.3,5.6,2.5,N,N,5.9,3.2,9.2,2.3,5.2,2.2,N,N,16.7,5.1,8.3,2.4,6.4,2.6,N,N,13.3,4.7,12.2,2.4,10.2,2.9,N,N,14.1,4.7,18.6,3.6,19.5,4,N,N,17.2,5,15.3,3.1,18.4,4.3,N,N,9,3.9,15.6,2.7,19.5,3.6,N,N,8.8,4.1,4.5,1.4,5.5,1.8,N,N,1.2,1.5,2.7,1.1,4,1.6,N,N,0.5,0.8,58067,7171,71756,4487,84105,6321,36013,6885,70054,4252,81739,5903,N,N,46083,5577,35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.4,(X)
1600000US0952000,"New Haven city, Connecticut",50312,2669,25877,1749,11498,1369,24435,2848,9.9,2.1,9.5,3.2,3.2,2.6,11.9,3.2,12.5,2.7,8.6,3.6,3.1,2.2,16.4,4.1,9.3,2.3,8.5,3.4,5,3.5,12.4,3.5,11.2,2.5,11.5,3,7.4,3.6,11.1,3.6,12.2,2.6,11.7,3.4,10.9,6.1,12.6,3.2,17.1,2.3,17,3.6,18.6,5.5,15.6,3.2,10.3,2.5,10.9,3.6,12.1,5.2,8.4,3.2,6.9,1.6,7.6,2.4,12.4,3.8,5.9,2,5.1,1.6,7.3,2.7,11.4,5,3.2,1.9,5.4,1.6,7.5,2.7,15.9,5.6,2.6,1.4,41950,3706,50291,7722,80605,16143,33103,4124,65713,4805,77985,8791,N,N,50144,4843,37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X)
