GEO_ID,NAME,P001001
id,Geographic Area Name,Total
1600000US2032875,"Home CDP, Kansas",160
1600000US2033075,"Hope city, Kansas",368
1600000US2033200,"Horton city, Kansas",1776
1600000US2033250,"Howard city, Kansas",687
1600000US2033350,"Hoxie city, Kansas",1201
1600000US2033375,"Hoyt city, Kansas",669
1600000US2033400,"Hudson city, Kansas",129
1600000US2033425,"Hugoton city, Kansas",3904
1600000US2033575,"Huron city, Kansas",54
1600000US2033450,"Humboldt city, Kansas",1953
1600000US2033500,"Hunnewell city, Kansas",67
1600000US2033525,"Hunter city, Kansas",57
1600000US2033625,"Hutchinson city, Kansas",42080
1600000US2033875,"Independence city, Kansas",9483
1600000US2034225,"Ingalls city, Kansas",306
1600000US2034275,"Inman city, Kansas",1377
1600000US2034300,"Iola city, Kansas",5704
1600000US2034550,"Isabel city, Kansas",90
1600000US2035450,"Jetmore city, Kansas",867
1600000US2034625,"Iuka city, Kansas",163
1600000US2034975,"Jamestown city, Kansas",286
1600000US2035375,"Jennings city, Kansas",96
1600000US2035475,"Jewell city, Kansas",432
1600000US2035600,"Johnson City city, Kansas",1495
1600000US2181624,"West Buechel city, Kentucky",1230
1600000US2181930,"West Point city, Kentucky",797
1600000US2181948,"Westport CDP, Kentucky",268
1600000US2182272,"Wheelwright city, Kentucky",780
1600000US2182146,"Westwood CDP, Kentucky",4746
1600000US2182164,"Westwood city, Kentucky",634
1600000US2182200,"Wheatcroft city, Kentucky",160
1600000US2182722,"White Plains city, Kentucky",884
1600000US2182776,"Whitesburg city, Kentucky",2139
1600000US2182830,"Whitesville city, Kentucky",552
1600000US2182938,"Whitley City CDP, Kentucky",1170
1600000US2183064,"Wickliffe city, Kentucky",688
1600000US2183172,"Wilder city, Kentucky",3035
1600000US2183424,"Willisburg city, Kentucky",282
1600000US2183208,"Wildwood city, Kentucky",261
1600000US2183334,"Williamsburg city, Kentucky",5245
1600000US2183406,"Williamstown city, Kentucky",3925
1600000US2183550,"Wilmore city, Kentucky",3686
1600000US2183676,"Winchester city, Kentucky",18368
1600000US2183784,"Windy Hills city, Kentucky",2385
1600000US2183856,"Wingo city, Kentucky",632
1600000US2184414,"Woodburn city, Kentucky",355
1600000US2184432,"Woodbury city, Kentucky",90
1600000US2184864,"Worthington city, Kentucky",1609
1600000US2184486,"Woodland Hills city, Kentucky",696
1600000US2184522,"Woodlawn city, Kentucky",229
1600000US2184576,"Woodlawn Park city, Kentucky",942
1600000US2184891,"Worthington Hills city, Kentucky",1446
1600000US2184900,"Worthville city, Kentucky",185
1600000US2185008,"Wurtland city, Kentucky",995
1600000US2200100,"Abbeville city, Louisiana",12257
1600000US2200240,"Abita Springs town, Louisiana",2365
1600000US2202655,"Arcadia town, Louisiana",2919
1600000US2202550,"Arabi CDP, Louisiana",3635
1600000US2200415,"Addis town, Louisiana",3593
1600000US2203320,"Athens village, Louisiana",249
1600000US2204055,"Ball town, Louisiana",4000
1600000US2203810,"Avondale CDP, Louisiana",4954
1600000US2203985,"Baker city, Louisiana",13895
1600000US2200835,"Albany village, Louisiana",1088
1600000US2202165,"Angie village, Louisiana",251
1600000US2204020,"Baldwin town, Louisiana",2436
1600000US2200975,"Alexandria city, Louisiana",47723
1600000US2201885,"Amite City town, Louisiana",4141
1600000US2203145,"Ashland village, Louisiana",269
1600000US5127200,"Falls Church city, Virginia",12332
1600000US5127296,"Fancy Gap CDP, Virginia",237
1600000US5127440,"Farmville town, Virginia",8216
1600000US5127712,"Ferrum CDP, Virginia",2043
1600000US5127744,"Fieldale CDP, Virginia",879
1600000US5127824,"Fincastle town, Virginia",353
1600000US5127968,"Fishersville CDP, Virginia",7462
1600000US5128496,"Flint Hill CDP, Virginia",209
1600000US5129008,"Fort Belvoir CDP, Virginia",7100
1600000US5128528,"Floris CDP, Virginia",8375
1600000US5128544,"Floyd town, Virginia",425
1600000US5128688,"Forest CDP, Virginia",9106
1600000US5129040,"Fort Chiswell CDP, Virginia",939
1600000US5129136,"Fort Hunt CDP, Virginia",16045
1600000US5129152,"Fort Lee CDP, Virginia",3393
1600000US5129552,"Franconia CDP, Virginia",18245
1600000US5129600,"Franklin city, Virginia",8582
1600000US5129628,"Franklin Farm CDP, Virginia",19288
1600000US5129968,"Front Royal town, Virginia",14440
1600000US5129744,"Fredericksburg city, Virginia",24286
1600000US5129840,"Free Union CDP, Virginia",193
1600000US5129920,"Fries town, Virginia",484
1600000US5130176,"Gainesville CDP, Virginia",11481
1600000US5130208,"Galax city, Virginia",7042
1600000US5130384,"Gargatha CDP, Virginia",381
1600000US5130480,"Gasburg CDP, Virginia",481
1600000US5130496,"Gate City town, Virginia",2034
1600000US5130618,"George Mason CDP, Virginia",9496
1600000US5131056,"Glade Spring town, Virginia",1456
1600000US5131136,"Glasgow town, Virginia",1133
1600000US5131608,"Gloucester Courthouse CDP, Virginia",2951
1600000US5131200,"Glen Allen CDP, Virginia",14774
1600000US5131376,"Glen Lyn town, Virginia",115
1600000US5131488,"Glenvar CDP, Virginia",976
1600000US5131616,"Gloucester Point CDP, Virginia",9402
1600000US5131808,"Goochland CDP, Virginia",861
1600000US5131936,"Gordonsville town, Virginia",1496
1600000US5131968,"Goshen town, Virginia",361
1600000US5132320,"Gratton CDP, Virginia",937
1600000US5132496,"Great Falls CDP, Virginia",15427
1600000US5132560,"Greenbackville CDP, Virginia",192
1600000US5132592,"Greenbriar CDP, Virginia",8166
1600000US2933706,"Humansville city, Missouri",1048
1600000US2933724,"Hume town, Missouri",336
1600000US2933760,"Hunnewell city, Missouri",184
1600000US2933778,"Hunter CDP, Missouri",168
1600000US2933850,"Huntleigh city, Missouri",334
1600000US2933868,"Huntsdale town, Missouri",31
1600000US2933886,"Huntsville city, Missouri",1564
1600000US2933904,"Hurdland city, Missouri",163
1600000US2933922,"Hurley city, Missouri",178
1600000US2935000,"Independence city, Missouri",116830
1600000US2934210,"Iatan village, Missouri",45
1600000US2934228,"Iberia city, Missouri",736
1600000US2934354,"Imperial CDP, Missouri",4709
1600000US2935186,"Indian Point village, Missouri",528
1600000US2935240,"Innsbrook village, Missouri",552
1600000US2935306,"Ionia town, Missouri",88
1600000US2935324,"Irena village, Missouri",18
1600000US2935396,"Irondale city, Missouri",445
1600000US2935648,"Jackson city, Missouri",13758
1600000US2935450,"Iron Mountain Lake city, Missouri",737
1600000US2935468,"Ironton city, Missouri",1460
1600000US2935486,"Irwin CDP, Missouri",69
1600000US2936224,"Jacksonville village, Missouri",151
1600000US2936314,"Jameson town, Missouri",133
1600000US2936332,"Jamesport city, Missouri",524
1600000US2936368,"Jamestown town, Missouri",386
1600000US2936512,"Jasper city, Missouri",931
