,NAME,state,place,PCT023003,PCT023001,% White
1,"Home CDP, Kansas",20,32875,157,160,0.98125
2,"Hope city, Kansas",20,33075,344,368,0.934782609
3,"Horton city, Kansas",20,33200,1466,1776,0.82545045
4,"Howard city, Kansas",20,33250,653,687,0.950509461
5,"Hoxie city, Kansas",20,33350,1159,1201,0.965029142
6,"Hoyt city, Kansas",20,33375,572,669,0.855007474
7,"Hudson city, Kansas",20,33400,129,129,1
8,"Hugoton city, Kansas",20,33425,3396,3904,0.869877049
9,"Huron city, Kansas",20,33575,53,54,0.981481481
10,"Humboldt city, Kansas",20,33450,1835,1953,0.939580133
11,"Hunnewell city, Kansas",20,33500,62,67,0.925373134
12,"Hunter city, Kansas",20,33525,56,57,0.98245614
13,"Hutchinson city, Kansas",20,33625,36968,42080,0.87851711
14,"Independence city, Kansas",20,33875,7981,9483,0.841611304
15,"Ingalls city, Kansas",20,34225,267,306,0.87254902
16,"Inman city, Kansas",20,34275,1322,1377,0.960058097
17,"Iola city, Kansas",20,34300,5211,5704,0.913569425
18,"Isabel city, Kansas",20,34550,87,90,0.966666667
19,"Jetmore city, Kansas",20,35450,835,867,0.963091119
20,"Iuka city, Kansas",20,34625,158,163,0.969325153
21,"Jamestown city, Kansas",20,34975,279,286,0.975524476
22,"Jennings city, Kansas",20,35375,95,96,0.989583333
23,"Jewell city, Kansas",20,35475,405,432,0.9375
24,"Johnson City city, Kansas",20,35600,1185,1495,0.79264214
25,"West Buechel city, Kentucky",21,81624,619,1230,0.503252033
26,"West Point city, Kentucky",21,81930,768,797,0.963613551
27,"Westport CDP, Kentucky",21,81948,257,268,0.958955224
28,"Wheelwright city, Kentucky",21,82272,680,780,0.871794872
29,"Westwood CDP, Kentucky",21,82146,4625,4746,0.974504846
30,"Westwood city, Kentucky",21,82164,563,634,0.888012618
31,"Wheatcroft city, Kentucky",21,82200,151,160,0.94375
32,"White Plains city, Kentucky",21,82722,862,884,0.975113122
33,"Whitesburg city, Kentucky",21,82776,2094,2139,0.978962132
34,"Whitesville city, Kentucky",21,82830,536,552,0.971014493
35,"Whitley City CDP, Kentucky",21,82938,1140,1170,0.974358974
36,"Wickliffe city, Kentucky",21,83064,627,688,0.911337209
37,"Wilder city, Kentucky",21,83172,2868,3035,0.944975288
38,"Willisburg city, Kentucky",21,83424,276,282,0.978723404
39,"Wildwood city, Kentucky",21,83208,254,261,0.973180077
40,"Williamsburg city, Kentucky",21,83334,4920,5245,0.938036225
41,"Williamstown city, Kentucky",21,83406,3757,3925,0.957197452
42,"Wilmore city, Kentucky",21,83550,3354,3686,0.909929463
43,"Winchester city, Kentucky",21,83676,16113,18368,0.877232143
44,"Windy Hills city, Kentucky",21,83784,2248,2385,0.942557652
45,"Wingo city, Kentucky",21,83856,563,632,0.890822785
46,"Woodburn city, Kentucky",21,84414,343,355,0.966197183
47,"Woodbury city, Kentucky",21,84432,89,90,0.988888889
48,"Worthington city, Kentucky",21,84864,1567,1609,0.97389683
49,"Woodland Hills city, Kentucky",21,84486,650,696,0.933908046
50,"Woodlawn city, Kentucky",21,84522,223,229,0.973799127
51,"Woodlawn Park city, Kentucky",21,84576,891,942,0.945859873
52,"Worthington Hills city, Kentucky",21,84891,904,1446,0.625172891
53,"Worthville city, Kentucky",21,84900,174,185,0.940540541
54,"Wurtland city, Kentucky",21,85008,978,995,0.982914573
55,"Abbeville city, Louisiana",22,100,6132,12257,0.500285551
56,"Abita Springs town, Louisiana",22,240,2176,2365,0.920084567
57,"Arcadia town, Louisiana",22,2655,932,2919,0.319287427
58,"Arabi CDP, Louisiana",22,2550,2959,3635,0.814030261
59,"Addis town, Louisiana",22,415,2483,3593,0.691065962
60,"Athens village, Louisiana",22,3320,185,249,0.742971888
61,"Ball town, Louisiana",22,4055,3586,4000,0.8965
62,"Avondale CDP, Louisiana",22,3810,2745,4954,0.554097699
63,"Baker city, Louisiana",22,3985,2852,13895,0.205253688
64,"Albany village, Louisiana",22,835,1034,1088,0.950367647
65,"Angie village, Louisiana",22,2165,173,251,0.689243028
66,"Baldwin town, Louisiana",22,4020,731,2436,0.300082102
67,"Alexandria city, Louisiana",22,975,18288,47723,0.383211449
68,"Amite City town, Louisiana",22,1885,1805,4141,0.435885052
69,"Ashland village, Louisiana",22,3145,223,269,0.828996283
70,"Falls Church city, Virginia",51,27200,9853,12332,0.798978268
71,"Fancy Gap CDP, Virginia",51,27296,230,237,0.970464135
72,"Farmville town, Virginia",51,27440,5941,8216,0.723101266
73,"Ferrum CDP, Virginia",51,27712,1419,2043,0.694566814
74,"Fieldale CDP, Virginia",51,27744,811,879,0.922639363
75,"Fincastle town, Virginia",51,27824,314,353,0.889518414
76,"Fishersville CDP, Virginia",51,27968,6758,7462,0.90565532
77,"Flint Hill CDP, Virginia",51,28496,200,209,0.956937799
78,"Fort Belvoir CDP, Virginia",51,29008,4609,7100,0.64915493
79,"Floris CDP, Virginia",51,28528,4883,8375,0.583044776
80,"Floyd town, Virginia",51,28544,400,425,0.941176471
81,"Forest CDP, Virginia",51,28688,7996,9106,0.87810235
82,"Fort Chiswell CDP, Virginia",51,29040,904,939,0.962726305
83,"Fort Hunt CDP, Virginia",51,29136,14698,16045,0.916048613
84,"Fort Lee CDP, Virginia",51,29152,1414,3393,0.416740348
85,"Franconia CDP, Virginia",51,29552,10739,18245,0.588599616
86,"Franklin city, Virginia",51,29600,3380,8582,0.393847588
87,"Franklin Farm CDP, Virginia",51,29628,14766,19288,0.765553712
88,"Front Royal town, Virginia",51,29968,12295,14440,0.851454294
89,"Fredericksburg city, Virginia",51,29744,15596,24286,0.64218068
90,"Free Union CDP, Virginia",51,29840,178,193,0.922279793
91,"Fries town, Virginia",51,29920,469,484,0.969008264
92,"Gainesville CDP, Virginia",51,30176,7455,11481,0.649333682
93,"Galax city, Virginia",51,30208,6044,7042,0.858278898
94,"Gargatha CDP, Virginia",51,30384,221,381,0.580052493
95,"Gasburg CDP, Virginia",51,30480,442,481,0.918918919
96,"Gate City town, Virginia",51,30496,1932,2034,0.949852507
97,"George Mason CDP, Virginia",51,30618,6374,9496,0.671229992
98,"Glade Spring town, Virginia",51,31056,1366,1456,0.938186813
99,"Glasgow town, Virginia",51,31136,935,1133,0.825242718
100,"Gloucester Courthouse CDP, Virginia",51,31608,2498,2951,0.846492714
101,"Glen Allen CDP, Virginia",51,31200,9431,14774,0.638351157
102,"Glen Lyn town, Virginia",51,31376,115,115,1
103,"Glenvar CDP, Virginia",51,31488,931,976,0.953893443
104,"Gloucester Point CDP, Virginia",51,31616,8287,9402,0.881408211
105,"Goochland CDP, Virginia",51,31808,728,861,0.845528455
106,"Gordonsville town, Virginia",51,31936,1058,1496,0.707219251
107,"Goshen town, Virginia",51,31968,354,361,0.980609418
108,"Gratton CDP, Virginia",51,32320,913,937,0.974386339
109,"Great Falls CDP, Virginia",51,32496,12424,15427,0.805341285
110,"Greenbackville CDP, Virginia",51,32560,183,192,0.953125
111,"Greenbriar CDP, Virginia",51,32592,5556,8166,0.680382072
112,"Humansville city, Missouri",29,33706,1012,1048,0.965648855
113,"Hume town, Missouri",29,33724,322,336,0.958333333
114,"Hunnewell city, Missouri",29,33760,182,184,0.989130435
115,"Hunter CDP, Missouri",29,33778,164,168,0.976190476
116,"Huntleigh city, Missouri",29,33850,305,334,0.913173653
117,"Huntsdale town, Missouri",29,33868,31,31,1
118,"Huntsville city, Missouri",29,33886,1449,1564,0.926470588
119,"Hurdland city, Missouri",29,33904,159,163,0.975460123
120,"Hurley city, Missouri",29,33922,176,178,0.988764045
121,"Independence city, Missouri",29,35000,100112,116830,0.856903193
122,"Iatan village, Missouri",29,34210,41,45,0.911111111
123,"Iberia city, Missouri",29,34228,705,736,0.957880435
124,"Imperial CDP, Missouri",29,34354,4589,4709,0.974516883
125,"Indian Point village, Missouri",29,35186,509,528,0.964015152
126,"Innsbrook village, Missouri",29,35240,539,552,0.976449275
127,"Ionia town, Missouri",29,35306,82,88,0.931818182
128,"Irena village, Missouri",29,35324,18,18,1
129,"Irondale city, Missouri",29,35396,434,445,0.975280899
130,"Jackson city, Missouri",29,35648,13182,13758,0.95813345
131,"Iron Mountain Lake city, Missouri",29,35450,709,737,0.962008141
132,"Ironton city, Missouri",29,35468,1404,1460,0.961643836
133,"Irwin CDP, Missouri",29,35486,68,69,0.985507246
134,"Jacksonville village, Missouri",29,36224,148,151,0.98013245
135,"Jameson town, Missouri",29,36314,117,133,0.879699248
136,"Jamesport city, Missouri",29,36332,503,524,0.959923664
137,"Jamestown town, Missouri",29,36368,378,386,0.979274611
138,"Jasper city, Missouri",29,36512,903,931,0.969924812
139,"Jefferson City city, Missouri",29,37000,33599,43079,0.779939182
140,"Josephville village, Missouri",29,37700,363,376,0.965425532
141,"Jennings city, Missouri",29,37178,1256,14712,0.085372485
142,"Jerico Springs village, Missouri",29,37214,220,228,0.964912281
143,"Joplin city, Missouri",29,37592,43954,50150,0.876450648
144,"Junction City village, Missouri",29,37736,317,327,0.96941896
145,"Kahoka city, Missouri",29,37790,2046,2078,0.984600577
146,"Kansas City city, Missouri",29,38000,272305,459787,0.592241625
147,"Kearney city, Missouri",29,38072,8061,8381,0.961818399
148,"Kelso village, Missouri",29,38216,578,586,0.986348123
149,"Three Forks city, Montana",30,73975,1833,1869,0.980738363
150,"Toston CDP, Montana",30,74500,100,108,0.925925926
151,"Townsend city, Montana",30,74575,1794,1878,0.955271565
152,"Trego CDP, Montana",30,74725,531,541,0.981515712
153,"Trout Creek CDP, Montana",30,74950,229,242,0.946280992
154,"Troy city, Montana",30,75025,885,938,0.943496802
155,"Turah CDP, Montana",30,75175,287,306,0.937908497
156,"Turner CDP, Montana",30,75250,56,61,0.918032787
157,"Turtle Lake CDP, Montana",30,75287,40,209,0.19138756
158,"Vaughn CDP, Montana",30,76675,597,658,0.907294833
159,"Twin Bridges town, Montana",30,75475,360,375,0.96
160,"Ulm CDP, Montana",30,75775,689,738,0.933604336
161,"Valier town, Montana",30,76225,445,509,0.874263261
162,"Victor CDP, Montana",30,76900,702,745,0.942281879
163,"Virginia City town, Montana",30,77125,174,190,0.915789474
164,"Walkerville town, Montana",30,77650,629,675,0.931851852
165,"Weeksville CDP, Montana",30,78775,81,83,0.975903614
166,"Westby town, Montana",30,78925,161,168,0.958333333
167,"West Glacier CDP, Montana",30,79075,226,227,0.995594714
168,"West Yellowstone town, Montana",30,79525,1101,1271,0.86624705
169,"West Glendive CDP, Montana",30,79086,1874,1948,0.96201232
170,"West Havre CDP, Montana",30,79098,289,316,0.914556962
171,"West Kootenai CDP, Montana",30,79105,355,365,0.97260274
172,"Wheatland CDP, Montana",30,79695,558,568,0.982394366
173,"Whitefish city, Montana",30,79825,6093,6357,0.958470977
174,"Whitehall town, Montana",30,79900,976,1038,0.94026975
175,"White Haven CDP, Montana",30,79935,550,577,0.953206239
176,"White Sulphur Springs city, Montana",30,80050,913,939,0.972310969
177,"Whitewater CDP, Montana",30,80200,48,64,0.75
178,"Wibaux town, Montana",30,80350,568,589,0.96434635
179,"Willow Creek CDP, Montana",30,80800,199,210,0.947619048
180,"Prescott city, Arizona",4,57380,36713,39843,0.921441659
181,"Queen Valley CDP, Arizona",4,58290,737,788,0.935279188
182,"Prescott Valley town, Arizona",4,57450,34187,38822,0.880608933
183,"Quartzsite town, Arizona",4,58010,3403,3677,0.92548273
184,"Queen Creek town, Arizona",4,58150,22043,26361,0.836197413
185,"Rainbow City CDP, Arizona",4,58620,7,968,0.007231405
186,"Rancho Mesa Verde CDP, Arizona",4,58870,399,625,0.6384
