,NAME,state,place,H011001,H011004,% Renters
1,"Home CDP, Kansas",20,32875,160,27,0.16875
2,"Hope city, Kansas",20,33075,368,75,0.203804348
3,"Horton city, Kansas",20,33200,1743,691,0.396442915
4,"Howard city, Kansas",20,33250,647,148,0.228748068
5,"Hoxie city, Kansas",20,33350,1168,264,0.226027397
6,"Hoyt city, Kansas",20,33375,669,126,0.188340807
7,"Hudson city, Kansas",20,33400,129,26,0.201550388
8,"Hugoton city, Kansas",20,33425,3832,956,0.249478079
9,"Huron city, Kansas",20,33575,54,16,0.296296296
10,"Humboldt city, Kansas",20,33450,1931,496,0.25686173
11,"Hunnewell city, Kansas",20,33500,67,9,0.134328358
12,"Hunter city, Kansas",20,33525,57,6,0.105263158
13,"Hutchinson city, Kansas",20,33625,39230,13548,0.345347948
14,"Independence city, Kansas",20,33875,9272,3393,0.365940466
15,"Ingalls city, Kansas",20,34225,306,85,0.277777778
16,"Inman city, Kansas",20,34275,1255,238,0.189641434
17,"Iola city, Kansas",20,34300,5385,2035,0.377901578
18,"Isabel city, Kansas",20,34550,90,7,0.077777778
19,"Jetmore city, Kansas",20,35450,853,187,0.21922626
20,"Iuka city, Kansas",20,34625,163,31,0.190184049
21,"Jamestown city, Kansas",20,34975,286,49,0.171328671
22,"Jennings city, Kansas",20,35375,96,7,0.072916667
23,"Jewell city, Kansas",20,35475,432,90,0.208333333
24,"Johnson City city, Kansas",20,35600,1448,347,0.239640884
25,"West Buechel city, Kentucky",21,81624,1230,1064,0.86504065
26,"West Point city, Kentucky",21,81930,797,335,0.420326223
27,"Westport CDP, Kentucky",21,81948,268,40,0.149253731
28,"Wheelwright city, Kentucky",21,82272,571,139,0.243432574
29,"Westwood CDP, Kentucky",21,82146,4608,1171,0.254123264
30,"Westwood city, Kentucky",21,82164,634,44,0.069400631
31,"Wheatcroft city, Kentucky",21,82200,160,20,0.125
32,"White Plains city, Kentucky",21,82722,884,156,0.176470588
33,"Whitesburg city, Kentucky",21,82776,1945,837,0.43033419
34,"Whitesville city, Kentucky",21,82830,552,150,0.27173913
35,"Whitley City CDP, Kentucky",21,82938,1090,549,0.503669725
36,"Wickliffe city, Kentucky",21,83064,688,226,0.328488372
37,"Wilder city, Kentucky",21,83172,3035,812,0.267545305
38,"Willisburg city, Kentucky",21,83424,253,50,0.197628458
39,"Wildwood city, Kentucky",21,83208,261,31,0.118773946
40,"Williamsburg city, Kentucky",21,83334,4093,2133,0.521133643
41,"Williamstown city, Kentucky",21,83406,3542,1345,0.379728967
42,"Wilmore city, Kentucky",21,83550,2577,1356,0.526193248
43,"Winchester city, Kentucky",21,83676,18087,8104,0.448056615
44,"Windy Hills city, Kentucky",21,83784,2385,132,0.055345912
45,"Wingo city, Kentucky",21,83856,632,165,0.261075949
46,"Woodburn city, Kentucky",21,84414,305,62,0.203278689
47,"Woodbury city, Kentucky",21,84432,90,12,0.133333333
48,"Worthington city, Kentucky",21,84864,1609,225,0.139838409
49,"Woodland Hills city, Kentucky",21,84486,696,128,0.183908046
50,"Woodlawn city, Kentucky",21,84522,222,21,0.094594595
51,"Woodlawn Park city, Kentucky",21,84576,942,108,0.114649682
52,"Worthington Hills city, Kentucky",21,84891,1446,263,0.181881051
53,"Worthville city, Kentucky",21,84900,185,73,0.394594595
54,"Wurtland city, Kentucky",21,85008,887,169,0.190529876
55,"Abbeville city, Louisiana",22,100,11903,5574,0.468285306
56,"Abita Springs town, Louisiana",22,240,2365,415,0.175475687
57,"Arcadia town, Louisiana",22,2655,2672,1243,0.465194611
58,"Arabi CDP, Louisiana",22,2550,3630,1131,0.311570248
59,"Addis town, Louisiana",22,415,3593,933,0.259671584
60,"Athens village, Louisiana",22,3320,249,46,0.184738956
61,"Ball town, Louisiana",22,4055,3842,1179,0.306871421
62,"Avondale CDP, Louisiana",22,3810,4954,1035,0.208922083
63,"Baker city, Louisiana",22,3985,13703,4178,0.304896738
64,"Albany village, Louisiana",22,835,1088,439,0.403492647
65,"Angie village, Louisiana",22,2165,251,50,0.199203187
66,"Baldwin town, Louisiana",22,4020,2416,464,0.19205298
67,"Alexandria city, Louisiana",22,975,45367,21015,0.463222166
68,"Amite City town, Louisiana",22,1885,3485,1297,0.372166428
69,"Ashland village, Louisiana",22,3145,269,38,0.141263941
70,"Falls Church city, Virginia",51,27200,12290,4547,0.36997559
71,"Fancy Gap CDP, Virginia",51,27296,237,56,0.23628692
72,"Farmville town, Virginia",51,27440,5734,3678,0.641437042
73,"Ferrum CDP, Virginia",51,27712,1023,339,0.331378299
74,"Fieldale CDP, Virginia",51,27744,879,196,0.22298066
75,"Fincastle town, Virginia",51,27824,255,87,0.341176471
76,"Fishersville CDP, Virginia",51,27968,6990,1606,0.229756795
77,"Flint Hill CDP, Virginia",51,28496,209,78,0.373205742
78,"Fort Belvoir CDP, Virginia",51,29008,6755,6727,0.995854922
79,"Floris CDP, Virginia",51,28528,8375,440,0.052537313
80,"Floyd town, Virginia",51,28544,425,190,0.447058824
81,"Forest CDP, Virginia",51,28688,9093,1575,0.173210162
82,"Fort Chiswell CDP, Virginia",51,29040,939,231,0.24600639
83,"Fort Hunt CDP, Virginia",51,29136,15946,1436,0.090053932
84,"Fort Lee CDP, Virginia",51,29152,3146,3129,0.994596313
85,"Franconia CDP, Virginia",51,29552,18239,4787,0.262459565
86,"Franklin city, Virginia",51,29600,8453,4207,0.497693127
87,"Franklin Farm CDP, Virginia",51,29628,19288,1348,0.069888013
88,"Front Royal town, Virginia",51,29968,14090,5776,0.409936125
89,"Fredericksburg city, Virginia",51,29744,21690,13161,0.606777317
90,"Free Union CDP, Virginia",51,29840,193,48,0.248704663
91,"Fries town, Virginia",51,29920,484,145,0.299586777
92,"Gainesville CDP, Virginia",51,30176,11481,2115,0.184217403
93,"Galax city, Virginia",51,30208,6665,2435,0.365341335
94,"Gargatha CDP, Virginia",51,30384,381,58,0.152230971
95,"Gasburg CDP, Virginia",51,30480,481,70,0.145530146
96,"Gate City town, Virginia",51,30496,2034,566,0.27826942
97,"George Mason CDP, Virginia",51,30618,4768,788,0.165268456
98,"Glade Spring town, Virginia",51,31056,1456,350,0.240384615
99,"Glasgow town, Virginia",51,31136,1133,317,0.279788173
