,NAME,state,place,H002002,H002001,% Urban
1,"Home CDP, Kansas",20,32875,0,74,0
2,"Hope city, Kansas",20,33075,0,192,0
3,"Horton city, Kansas",20,33200,0,904,0
4,"Howard city, Kansas",20,33250,0,415,0
5,"Hoxie city, Kansas",20,33350,0,605,0
6,"Hoyt city, Kansas",20,33375,0,269,0
7,"Hudson city, Kansas",20,33400,0,66,0
8,"Hugoton city, Kansas",20,33425,1548,1560,0.992307692
9,"Huron city, Kansas",20,33575,0,25,0
10,"Humboldt city, Kansas",20,33450,0,923,0
11,"Hunnewell city, Kansas",20,33500,0,41,0
12,"Hunter city, Kansas",20,33525,0,61,0
13,"Hutchinson city, Kansas",20,33625,18427,18580,0.991765339
14,"Independence city, Kansas",20,33875,4513,4528,0.996687279
15,"Ingalls city, Kansas",20,34225,0,121,0
16,"Inman city, Kansas",20,34275,0,566,0
17,"Iola city, Kansas",20,34300,2546,2636,0.96585736
18,"Isabel city, Kansas",20,34550,0,47,0
19,"Jetmore city, Kansas",20,35450,0,439,0
20,"Iuka city, Kansas",20,34625,0,83,0
21,"Jamestown city, Kansas",20,34975,0,148,0
22,"Jennings city, Kansas",20,35375,0,89,0
23,"Jewell city, Kansas",20,35475,0,251,0
24,"Johnson City city, Kansas",20,35600,0,609,0
25,"West Buechel city, Kentucky",21,81624,589,589,1
26,"West Point city, Kentucky",21,81930,0,425,0
27,"Westport CDP, Kentucky",21,81948,0,151,0
28,"Wheelwright city, Kentucky",21,82272,0,295,0
29,"Westwood CDP, Kentucky",21,82146,2063,2104,0.980513308
30,"Westwood city, Kentucky",21,82164,218,218,1
31,"Wheatcroft city, Kentucky",21,82200,0,75,0
32,"White Plains city, Kentucky",21,82722,0,385,0
33,"Whitesburg city, Kentucky",21,82776,0,1005,0
34,"Whitesville city, Kentucky",21,82830,0,247,0
35,"Whitley City CDP, Kentucky",21,82938,0,530,0
36,"Wickliffe city, Kentucky",21,83064,0,355,0
37,"Wilder city, Kentucky",21,83172,1452,1452,1
38,"Willisburg city, Kentucky",21,83424,0,120,0
39,"Wildwood city, Kentucky",21,83208,115,115,1
40,"Williamsburg city, Kentucky",21,83334,1878,2007,0.935724963
41,"Williamstown city, Kentucky",21,83406,983,1487,0.661062542
42,"Wilmore city, Kentucky",21,83550,1236,1236,1
43,"Winchester city, Kentucky",21,83676,8454,8454,1
44,"Windy Hills city, Kentucky",21,83784,1170,1170,1
45,"Wingo city, Kentucky",21,83856,0,276,0
46,"Woodburn city, Kentucky",21,84414,0,132,0
47,"Woodbury city, Kentucky",21,84432,0,43,0
48,"Worthington city, Kentucky",21,84864,681,681,1
49,"Woodland Hills city, Kentucky",21,84486,294,294,1
50,"Woodlawn city, Kentucky",21,84522,98,98,1
51,"Woodlawn Park city, Kentucky",21,84576,432,432,1
52,"Worthington Hills city, Kentucky",21,84891,630,630,1
53,"Worthville city, Kentucky",21,84900,0,85,0
54,"Wurtland city, Kentucky",21,85008,419,437,0.958810069
55,"Abbeville city, Louisiana",22,100,5168,5257,0.983070192
56,"Abita Springs town, Louisiana",22,240,905,1069,0.846585594
57,"Arcadia town, Louisiana",22,2655,1166,1217,0.958093673
58,"Arabi CDP, Louisiana",22,2550,1918,1918,1
59,"Addis town, Louisiana",22,415,1356,1441,0.941013185
60,"Athens village, Louisiana",22,3320,0,140,0
61,"Ball town, Louisiana",22,4055,1389,1620,0.857407407
62,"Avondale CDP, Louisiana",22,3810,1692,1811,0.934290447
63,"Baker city, Louisiana",22,3985,5228,5314,0.983816334
64,"Albany village, Louisiana",22,835,448,483,0.927536232
65,"Angie village, Louisiana",22,2165,0,123,0
66,"Baldwin town, Louisiana",22,4020,930,964,0.96473029
67,"Alexandria city, Louisiana",22,975,20305,20366,0.997004812
68,"Amite City town, Louisiana",22,1885,1499,1502,0.998002663
69,"Ashland village, Louisiana",22,3145,0,154,0
70,"Falls Church city, Virginia",51,27200,5489,5489,1
71,"Fancy Gap CDP, Virginia",51,27296,0,152,0
72,"Farmville town, Virginia",51,27440,2509,2885,0.869670711
73,"Ferrum CDP, Virginia",51,27712,0,534,0
74,"Fieldale CDP, Virginia",51,27744,346,455,0.76043956
75,"Fincastle town, Virginia",51,27824,0,143,0
76,"Fishersville CDP, Virginia",51,27968,2352,3077,0.76438089
77,"Flint Hill CDP, Virginia",51,28496,0,124,0
78,"Fort Belvoir CDP, Virginia",51,29008,1863,2018,0.923191278
79,"Floris CDP, Virginia",51,28528,2562,2562,1
80,"Floyd town, Virginia",51,28544,0,277,0
81,"Forest CDP, Virginia",51,28688,3847,3922,0.980877104
82,"Fort Chiswell CDP, Virginia",51,29040,0,417,0
83,"Fort Hunt CDP, Virginia",51,29136,6113,6113,1
84,"Fort Lee CDP, Virginia",51,29152,829,866,0.957274827
85,"Franconia CDP, Virginia",51,29552,7627,7627,1
86,"Franklin city, Virginia",51,29600,3769,3901,0.966162522
87,"Franklin Farm CDP, Virginia",51,29628,6197,6197,1
88,"Front Royal town, Virginia",51,29968,6147,6184,0.994016818
89,"Fredericksburg city, Virginia",51,29744,10369,10467,0.990637241
90,"Free Union CDP, Virginia",51,29840,0,82,0
91,"Fries town, Virginia",51,29920,0,340,0
92,"Gainesville CDP, Virginia",51,30176,3951,3959,0.997979288
93,"Galax city, Virginia",51,30208,2830,3252,0.870233702
94,"Gargatha CDP, Virginia",51,30384,0,187,0
95,"Gasburg CDP, Virginia",51,30480,0,636,0
96,"Gate City town, Virginia",51,30496,940,1087,0.864765409
97,"George Mason CDP, Virginia",51,30618,1730,1730,1
98,"Glade Spring town, Virginia",51,31056,0,670,0
99,"Glasgow town, Virginia",51,31136,0,532,0
100,"Gloucester Courthouse CDP, Virginia",51,31608,901,1149,0.784160139
101,"Glen Allen CDP, Virginia",51,31200,6241,6241,1
102,"Glen Lyn town, Virginia",51,31376,0,58,0
103,"Glenvar CDP, Virginia",51,31488,459,459,1
104,"Gloucester Point CDP, Virginia",51,31616,3975,4257,0.933756166
105,"Goochland CDP, Virginia",51,31808,0,338,0
106,"Gordonsville town, Virginia",51,31936,0,710,0
107,"Goshen town, Virginia",51,31968,0,192,0
108,"Gratton CDP, Virginia",51,32320,0,412,0
109,"Great Falls CDP, Virginia",51,32496,4292,5179,0.828731415
110,"Greenbackville CDP, Virginia",51,32560,0,145,0
111,"Greenbriar CDP, Virginia",51,32592,3224,3224,1
112,"Humansville city, Missouri",29,33706,0,461,0
113,"Hume town, Missouri",29,33724,0,141,0
114,"Hunnewell city, Missouri",29,33760,0,97,0
115,"Hunter CDP, Missouri",29,33778,0,76,0
116,"Huntleigh city, Missouri",29,33850,136,136,1
117,"Huntsdale town, Missouri",29,33868,0,15,0
118,"Huntsville city, Missouri",29,33886,0,690,0
119,"Hurdland city, Missouri",29,33904,0,94,0
120,"Hurley city, Missouri",29,33922,0,79,0
121,"Independence city, Missouri",29,35000,53130,53834,0.986922763
122,"Iatan village, Missouri",29,34210,0,22,0
123,"Iberia city, Missouri",29,34228,0,347,0
124,"Imperial CDP, Missouri",29,34354,1758,1871,0.93960449
125,"Indian Point village, Missouri",29,35186,0,716,0
126,"Innsbrook village, Missouri",29,35240,0,1315,0
127,"Ionia town, Missouri",29,35306,0,57,0
128,"Irena village, Missouri",29,35324,0,8,0
129,"Irondale city, Missouri",29,35396,0,192,0
130,"Jackson city, Missouri",29,35648,5784,5835,0.99125964
131,"Iron Mountain Lake city, Missouri",29,35450,0,367,0
132,"Ironton city, Missouri",29,35468,712,745,0.955704698
