PWS ID,PWS Name,EPA Region,Primacy Agency,PWS Type,Primacy Type,Primary Source,Activity Status,Deactivation Date,Population Served Count,Population Category,Rule Name,Violation Code,Violation Type,Violation Category Code,Is Health Based,Contaminant Name,Compliance Period Begin Date,Compliance Period End Date,Compliance Status,RTC Date,Enforcement Action Type Code,Enforcement Action Description,Is Major Violation,Severity Indicator Count,Public Notification Tier,Violation First Reported Date
AR0000512,BARLING WATERWORKS,Region 6,Arkansas,Community water system,State,Surface water purchased,Active,-,"4,583",Medium,Revised Total Coliform Rule,3A,"Monitoring, Routine (RTCR)",MON,N,Revised Total Coliform Rule,1-Apr-20,30-Apr-20,Known,-,-,-,Y,-,3,18-Jun-20
NC0416028,BOGUE BANKS WATER CORPORATION,Region 4,North Carolina,Community water system,State,Ground water,Active,-,"4,995",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Apr-20,30-Jun-20,Known,-,SIF,State Public Notification received,-,1,2,29-Jun-20
NC0190413,UNION COUNTY WATER SYSTEM,Region 4,North Carolina,Community water system,State,Surface water purchased,Active,-,"134,066",Extra Large,Revised Total Coliform Rule,1A,"Maximum Contaminant Level Violation, E. coli (RTCR)",MCL,Y,Revised Total Coliform Rule,1-Mar-20,31-Mar-20,Returned to Compliance,30-Apr-20,SOX,State Compliance achieved,-,-,1,18-May-20
OH3600614,HILLSBORO CITY,Region 5,Ohio,Community water system,State,Surface water,Active,-,"6,650",Medium,Consumer Confidence Rule,72,Consumer Confidence Report Inadequate Reporting,Other,N,Consumer Confidence Rule,10-Feb-20,-,Open,-,SIA,State Violation/Reminder Notice,-,-,3,14-May-20
NY5404416,ITHACA CITY,Region 2,New York,Community water system,State,Surface water,Active,-,"29,457",Large,Stage 1 Disinfectants and Disinfection Byproducts Rule,13,Acute Maximum Residual Disinfectant Level,MRDL,Y,Chlorine dioxide,1-Feb-20,29-Feb-20,Returned to Compliance,4-Mar-20,SOX,State Compliance achieved,-,1,1,6-May-20
GA0390001,ST. MARYS,Region 4,Georgia,Community water system,State,Ground water,Active,-,"17,270",Large,Ground Water Rule,34,"Monitoring, Source Water (GWR)",MR,N,E. COLI,29-Jan-20,-,Open,-,SIE,State Public Notification requested,Y,-,3,7-May-20
OH5701212,MIAMISBURG CITY PWS,Region 5,Ohio,Community water system,State,Ground water,Active,-,"20,034",Large,Consumer Confidence Rule,72,Consumer Confidence Report Inadequate Reporting,Other,N,Consumer Confidence Rule,21-Jan-20,-,Open,-,SIA,State Violation/Reminder Notice,-,-,3,14-May-20
NV0000255,YERINGTON CITY OF,Region 9,Nevada,Community water system,State,Ground water,Active,-,"5,050",Medium,Revised Total Coliform Rule,4B,Report Sample Result/Fail Monitor (RTCR),RPT,N,Revised Total Coliform Rule,11-Jan-20,-,Returned to Compliance,16-Jan-20,SIE,State Public Notification requested,-,-,3,19-Feb-20
OH2000212,HICKSVILLE VILLAGE,Region 5,Ohio,Community water system,State,Ground water,Active,-,"3,581",Medium,Consumer Confidence Rule,72,Consumer Confidence Report Inadequate Reporting,Other,N,Consumer Confidence Rule,9-Jan-20,-,Open,-,SIA,State Violation/Reminder Notice,-,-,3,14-May-20
OH1801003,LAKEWOOD CITY PWS,Region 5,Ohio,Community water system,State,Surface water purchased,Active,-,"52,100",Large,Consumer Confidence Rule,72,Consumer Confidence Report Inadequate Reporting,Other,N,Consumer Confidence Rule,7-Jan-20,-,Open,-,SIA,State Violation/Reminder Notice,-,-,3,14-May-20
OK3004001,LEFLORE CO. RWD #14,Region 6,Oklahoma,Community water system,State,Surface water purchased,Active,-,"9,077",Medium,Stage 2 Disinfectants and Disinfection Byproducts Rule,2,"Maximum Contaminant Level Violation, Average",MCL,Y,TTHM,1-Jan-20,31-Mar-20,Known,-,SIE,State Public Notification requested,-,1,2,19-May-20
