ID,State Code,County Code,Name,State Name,PWS ID,PWS Name,EPA Region,PWS Type,Population Served Count,Cities Served,Size,Oversample,URL of CCR,Most recent year?,Translation available?
1,1,33,Colbert,Alabama,AL0000316,HAWK PRIDE MT WATER SYSTEM,Region 4,Community water system,4035,TUSCUMBIA,Medium,0,N/A,N/A,N/A
2,1,47,Dallas,Alabama,AL0000463,DALLAS COUNTY WATER & SEWER AUTHORITY,Region 4,Community water system,4152,SELMA,Medium,0,N/A,N/A,N/A
4,1,127,Walker,Alabama,AL0001326,CORDOVA WATER WORKS & GAS BOARD,Region 4,Community water system,3939,CORDOVA,Medium,0,N/A,N/A,N/A
37,6,79,San Luis Obispo,California,CA4010832,ATASCADERO STATE HOSPITAL,Region 9,Community water system,4128,-,Medium,0,N/A,N/A,N/A
3,1,9,Blount,Alabama,AL0000103,ONEONTA UTILITIES BOARD,Region 4,Community water system,19737,ONEONTA,Large,0,https://oneontautilities.com/2019_oneonta_ccr.html,2020,No
5,1,47,Dallas,Alabama,AL0000482,NORTH DALLAS WATER AUTHORITY,Region 4,Community water system,8838,SELMA,Medium,0,https://northdallaswater.net/documents/1185/North_Dallas_Co_2020_CCR.pdf,2020,No
6,1,123,Tallapoosa,Alabama,AL0001265,ALEXANDER CITY WATER DEPARTMENT,Region 4,Community water system,29565,ALEXANDER CITY,Large,0,https://alexandercityal.gov/sites/default/files/fileattachments/utilities/page/8241/alexander_city_2019_annual_water_quality_report.pdf,2019,No
7,2,170,Matanuska-Susitna Borough,Alaska,AK2224646,WASILLA WATER SYSTEM,Region 10,Community water system,18412,WASILLA,Large,0,https://www.cityofwasilla.com/home/showdocument?id=23060,2020,No
8,4,13,Maricopa,Arizona,AZ0407056,EPCOR WATER - PARADISE VALLEY/SCOTTSDALE,Region 9,Community water system,12000,PARADISE VALLEY,Large,1,https://www.epcor.com/products-services/water/water-quality/water-quality-reports-usa/wqreports/wq-paradise-valley-2019.pdf,2020,Yes
9,4,13,Maricopa,Arizona,AZ0407070,SUNRISE WATER COMPANY,Region 9,Community water system,4765,PEORIA,Medium,1,https://jdcwater.com/documents/563/Sunrise_Water_Quality_Report_2019.pdf,2020,No
21,6,111,Ventura,California,CA5610008,PLEASANT VALLEY MUTUAL WATER CO,Region 9,Community water system,5000,-,Medium,1,https://www.pvmwc.com/reports,2019,No
22,6,73,San Diego,California,CA3710015,"POWAY, CITY OF",Region 9,Community water system,49990,POWAY,Large,1,https://poway.org/DocumentCenter/View/6430/2018-Poway-Annual-Water-Quality-Report,2019,No
23,6,37,Los Angeles,California,CA1910030,GSWC - CULVER CITY,Region 9,Community water system,36192,SANTA FE SPRINGS,Large,1,https://www.gswater.com/sites/main/files/file-attachments/water-quality-2019-culver-city.pdf?1591302565,2020,Yes
24,6,37,Los Angeles,California,CA1910194,ROWLAND WATER DISTRICT,Region 9,Community water system,55038,-,Large,1,https://www.rowlandwater.com/wp-content/uploads/2020/06/RWD_CCR_20_FINAL_WEB.pdf,2020,No
25,6,37,Los Angeles,California,CA1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,Region 9,Community water system,127992,-,Very Large,1,https://yourscvwater.com/wp-content/uploads/2020/05/2020-SCV-Water-Quality-Report.pdf,2020,No
47,12,86,Miami-Dade,Florida,FL4134365,HIALEAH GARDENS,Region 4,Community water system,24156,HIALEAH GARDENS,Large,1,https://www.cityofhialeahgardens.com/Home/ShowDocument?id=1544,2020,Yes
230,48,453,Travis,Texas,TX2270001,CITY OF AUSTIN WATER & WASTEWATER,Region 6,Community water system,981783,-,Very Large,1,https://www.austintexas.gov/sites/default/files/files/Water/WaterQualityReports/AW_WaterQuality_Report_Austin_2019_FINAL.pdf,2020,Yes
231,48,453,Travis,Texas,TX2270012,LAKEWAY MUD,Region 6,Community water system,10512,-,Large,1,https://179349-522195-raikfcquaxqncofqfm.stackpathdns.com/wp-content/uploads/LMUD-CCR2019.pdf,2020,Yes
232,48,439,Tarrant,Texas,TX2200060,CITY OF LAKE WORTH,Region 6,Community water system,4780,-,Medium,1,https://lakeworthbeachfl.gov/download/2019-annual-drinking-water-quality-report/,2020,Yes
10,4,3,Cochise,Arizona,AZ0402004,ARIZONA WATER CO - SIERRA VISTA,Region 9,Community water system,10002,SIERRA VISTA,Large,0,https://www.azwater.com/files/water-quality/ccr-sierra-vista-2019.pdf,2020,No
11,5,23,Cleburne,Arkansas,AR0000579,TUMBLING SHOALS WATER ASSOC,Region 6,Community water system,4890,-,Medium,0,https://tsws.myruralwater.com/documents/1048/CCF06022020.pdf,2020,No
12,5,131,Sebastian,Arkansas,AR0000512,BARLING WATERWORKS,Region 6,Community water system,4583,-,Medium,0,https://www.ark.org/health/eng/ccr/512.pdf,2020,No
13,5,31,Craighead,Arkansas,AR0000688,LAWRENCE CO REG WATER DIST,Region 6,Community water system,7469,-,Medium,0,https://lawrencecountyregionalwater.myruralwater.com/documents/481/2019_Annual_Drinking_Water_Quality_Report.pdf,2020,No
14,5,7,Benton,Arkansas,AR0000349,MADISON CO WATER FACILITIES BD,Region 6,Community water system,9688,-,Medium,0,https://www.mcwfb.com/documents/925/CCR19_Madison_Co_WFB_349.pdf,2020,No
15,5,149,Yell,Arkansas,AR0000697,NE YELL COUNTY WATER ASSOC,Region 6,Community water system,6125,-,Medium,0,https://neycw.myruralwater.com/documents/470/697.pdf,2020,No
16,5,145,White,Arkansas,AR0000185,SW WHITE COUNTY WATER ASSN,Region 6,Community water system,10917,-,Large,0,https://www.ark.org/health/eng/ccr/185.pdf,2020,No
17,5,0,Greene,Arkansas,AR0000722,CLAY CO REG WATER DISTRICT,Region 6,Community water system,5515,-,Medium,0,https://www.ark.org/health/eng/ccr/722.pdf,2020,No
18,5,0,Faulkner,Arkansas,AR0000101,COMMUNITY WATER SYSTEM,Region 6,Community water system,17038,-,Large,0,https://www.ark.org/health/eng/ccr/101.pdf,2020,No
19,5,23,Cleburne,Arkansas,AR0000735,WEST STONE COUNTY WATER ASSN,Region 6,Community water system,4634,-,Medium,0,https://www.ark.org/health/eng/ccr/735.pdf,2020,No
20,5,45,Faulkner,Arkansas,AR0000844,BEAVERFORK VOLUNTEER FD WSD,Region 6,Community water system,3458,-,Medium,0,https://www.ark.org/health/eng/ccr/844.pdf,2020,No
26,6,29,Kern,California,CA1510020,"TEHACHAPI, CITY OF",Region 9,Community water system,8839,TEHACHAPI,Medium,1,https://www.liveuptehachapi.com/DocumentCenter/View/5558/2019-Water-Quality-Report?bidId=,2020,No
27,6,19,Fresno,California,CA1010021,"MENDOTA, CITY OF",Region 9,Community water system,11104,MENDOTA,Large,1,http://ci.mendota.ca.us/wp-content/uploads/2014/06/2018-Mendota-Water-Consumer-Confidence-Report.pdf,2019,Yes
28,6,1,Alameda,California,CA0110006,CITY OF HAYWARD,Region 9,Community water system,151600,HAYWARD,Very Large,1,https://www.hayward-ca.gov/sites/default/files/2019%20CCR%20%28Water%20Quality%20Report%29%20-%20Final%20Cover.pdf,2020,No
29,6,61,Placer,California,CA3110003,FORESTHILL PUBLIC UTILITY DIST,Region 9,Community water system,6000,-,Medium,0,https://www.foresthillpud.com/pdf_files/Annual-Water-Quality-Reports/CCR-2019-FPUD.PDF,2020,Yes
30,6,67,Sacramento,California,CA3410013,CALAM - LINCOLN OAKS,Region 9,Community water system,94183,-,Large,0,https://www.amwater.com/ccr/lincolnoaks.pdf,2020,Yes
31,6,67,Sacramento,California,CA3410031,CALAM - ANTELOPE,Region 9,Community water system,68587,-,Large,0,https://www.amwater.com/ccr/antelope.pdf,2020,Yes
32,6,67,Sacramento,California,CA3410008,ELK GROVE WATER SERVICE,Region 9,Community water system,40461,-,Large,0,https://www.egwd.org/wp-content/uploads/FINAL-Elk-Grove-Water-District-6.5.19.pdf,2019,No
33,6,79,San Luis Obispo,California,CA4010002,ATASCADERO MUTUAL WATER CO,Region 9,Community water system,31787,-,Large,0,https://web.amwc.us/resources/CCR.pdf,2020,No
34,6,83,Santa Barbara,California,CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,Region 9,Community water system,6737,-,Medium,0,https://s3.amazonaws.com/siteninja/multitenant/assets/30524/files/original/ID1_2019_Annual_WQ_Report_Final.pdf,2020,No
35,6,63,Plumas,California,CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,Region 9,Community water system,6000,-,Medium,0,http://www.laccmutualwater.org/uploads/9/6/4/8/9648300/2019_water_quality_report.pdf,2020,Yes
36,6,17,El Dorado,California,CA0910013,GEORGETOWN DIVIDE PUD,Region 9,Community water system,9053,-,Medium,0,https://www.gd-pud.org/files/5c86aa1e3/2019+CCR+-+GDPUD_Final.pdf,2019,Yes
