Water System Name,CCR Website,Water System Website,Water System Alias,Population Served,Source Type,System Address,Contact Phone,Cities Served,Counties Served
ALIAMANU,,,,"6,406",Ground water purchased,"ENVIRONMENTAL DIVISION
947 WRIGHT AVENUE
SCHOFIELD BARRACKS, HI 96857-5013",808-656-3107,SALT LAKE,Honolulu
D.C. WATER AND SEWER AUTHORITY,http://www.dcwater.com/waterreport,http://www.dcwater.com,"DC WASA, DC WATER, DCWASA, DCWATER","632,323",Surface water purchased,"5000 OVERLOOK DR
WASHINGTON, DC 20032",202-364-3148,,District of Columbia
ABBEVILLE WATER WORKS & SEWER BOARD,,,,"3,828",Ground water,"
589 Industrial Park Road
ABBEVILLE, AL 36310",334-585-3208,ABBEVILLE,Henry
"ABILENE, CITY OF",,,,"6,300",Groundwater under influence of surface water,"419 N BROADWAY
PO BOX 519
ABILENE, KS 67410-0519",785-263-7478,ABILENE,Dickinson
ALBANY WATER WORKS,,,,"14,702",Surface water,"PO BOX 129
ALBANY, KY 42602",606-387-5854,,Clinton
ABERDEEN,,,,"26,091",Surface water,"12668 391ST  AVENUE
ABERDEEN, SD 57401",6056267074,ABERDEEN,Brown
ADRIAN P S D,,,,"5,295",Surface water purchased,"
PO BOX 87
FRENCH CREEK, WV 26218",304-924-6107,FRENCH CREEK,Upshur
JOINT BASE ANACOSTIA - BOLLING,https://www.cnic.navy.mil/content/dam/cnic/ndw/pdfs/water_ccr/2017-JBAB-CCR-Submittal.pdf,,,"16,559",Surface water purchased,"370 Brooklyn Ave SW
WASHINGTON, DC 20052",202-767-0193,,District of Columbia
ALLEN COUNTY WATER DISTRICT,,,,"14,999",Surface water purchased,"PO BOX 58
SCOTTSVILLE, KY 42164",270-622-3040,,Allen
ADAMSVILLE WATER SYSTEM,,,,"9,091",Ground water,"P.O. BOX 301
ADAMSVILLE, TN 38310",731-632-4214,ADAMSVILLE,McNairy
AGASSIZ WATER USERS DISTRICT,,,,"3,438",Ground water,"217 MAIN AVE
PO BOX 185
GILBY, ND 58235",701-869-2690,,Grand Forks
BARBERS POINT,,,,"5,256",Ground water,"c/o HAWAII WATER SERVICE CO.
P.O. BOX 384809
WAIKOLOA, HI 96738",808-585-7901,WAIPAHU-EWA-WAIANAE,Honolulu
33RD DISTRICT AGRICULTURAL ASSOCIATION,,,,"9,000",Ground water,"PO Box 780
TRES PINOS, CA 95075",831-628-3421,,San Benito
NAVAL STATION WASHINGTON - WNY,https://cnic.navy.mil/content/cnic/cnic_hq/regions/ndw/installations/nsa_washington/om/environmental-support-/drinking-water-consumer-confidence-report-for-wny/_jcr_content/par1/pdfdownload/file.res/2018%20Consumer%20Confidence%20Report%20for%20WNY%20Drinking%20Water.pdf,,,"15,690",Surface water purchased,"1313 O St Building 166 1st Floor
WASHINGTON NAVY YARD, DC 20374",202-658-8007,,District of Columbia
ABITA SPRINGS WATER SYSTEM,,,,"3,693",Ground water,"MAYOR DAN CURTIS
22161 LEVEL STREET
ABITA SPRINGS, LA 70420",985-892-0711,,St. Tammany Parish
ALPINE CITY,,,,"9,500",Ground water,"5626 S 4800 W
SPANISH FORK, UT 84660",801-756-6347,,Utah
ALABASTER WATER BOARD,,,,"39,474",Surface water purchased,"213 1st Street North
213 1st Street North
ALABASTER, AL 35007",205-663-6155,ALABASTER,Shelby
ASHLAND WATER WORKS,,,,"44,402",Surface water,"4040 WINCHESTER AVE.
ASHLAND, KY 41101",606-327-2058,,Boyd
ADAMS CO W/A #2-SOUTH,,,,"7,878",Ground water,"1000 HWY 569
FERRIDAY, LA 71334",601-446-6616,,Adams
ADC - CUMMINS UNIT MAINT,,,,"3,800",Ground water,"PO BOX 500
GRADY, AR 71644",501-842-2519,,Lincoln
ALBERTVILLE UTILITIES BOARD,,,,"33,060",Surface water,"210 West Main Street
P O BOX 130
ALBERTVILLE, AL 35950",256-878-3761,ALBERTVILLE,Marshall
ADAMS CO W/A #4-KAISER LAKE,,,,"8,113",Ground water,"1000 HWY 569
FERRIDAY, LA 71334",601-446-6616,,Adams
ALTA TOWN WATER SYSTEM,,,,"3,885",Ground water,"PO BOX 8016
ALTA, UT 84092",385-449-1887,,Salt Lake
ALEXANDER CITY WATER DEPARTMENT,,,,"29,565",Surface water,"
P O BOX 552
ALEXANDER CITY, AL 35010",256-329-6730,ALEXANDER CITY,Tallapoosa
ABRAHAM BALDWIN AGRI. COLLEGE,,,,"4,000",Ground water,"2802 Moore Hwy, ABAC 46
TIFTON, GA 31794",229-391-5180,TIFTON,Tift
ALCOA WATER SYSTEM,,,,"30,123",Surface water,"223 Associates Blvd
ALCOA, TN 37701",865-380-4800,"ALCOA, MARYVILLE",Blount
ABERDEEN CITY OF,,,,"17,958",Surface water,"200 E MARKET ST
ABERDEEN, WA 98520",,,Grays Harbor
ALICEVILLE WATER & SEWER BOARD,,,,"5,655",Ground water,"311 3rd avenue n.w.
ALICEVILLE, AL 35442",,ALICEVILLE,Pickens
FORT SHAFTER,,,,"7,067",Ground water,"ENVIRONMENTAL DIVISION
947 WRIGHT AVENUE
SCHOFIELD BARRACKS, HI 96857-5013",808-656-3107,,Honolulu
