Water System Name,CCR Website,Water System Website,Water System Alias,Population Served,Source Type,System Address,Contact Phone,Cities Served,Counties Served
D.C. WATER AND SEWER AUTHORITY,http://www.dcwater.com/waterreport,http://www.dcwater.com,"DC WASA, DC WATER, DCWASA, DCWATER","632,323",Surface water purchased,"5000 OVERLOOK DR
WASHINGTON, DC 20032",202-364-3148,,District of Columbia
JOINT BASE ANACOSTIA - BOLLING,https://www.cnic.navy.mil/content/dam/cnic/ndw/pdfs/water_ccr/2017-JBAB-CCR-Submittal.pdf,,,"16,559",Surface water purchased,"370 Brooklyn Ave SW
WASHINGTON, DC 20052",202-767-0193,,District of Columbia
NAVAL STATION WASHINGTON - WNY,https://cnic.navy.mil/content/cnic/cnic_hq/regions/ndw/installations/nsa_washington/om/environmental-support-/drinking-water-consumer-confidence-report-for-wny/_jcr_content/par1/pdfdownload/file.res/2018%20Consumer%20Confidence%20Report%20for%20WNY%20Drinking%20Water.pdf,,,"15,690",Surface water purchased,"1313 O St Building 166 1st Floor
WASHINGTON NAVY YARD, DC 20374",202-658-8007,,District of Columbia
ARTESIAN WATER COMPANY,http://www.artesianwater.com/customer-service-center/artesian-pipeline-newsletter/customer-service-centerartesian-pipeline-newsletterspring-2010-water-quality-reports,,,"208,875",Surface water purchased,"664 Churchmans Road
NEWARK, DE 19702",302-453-6925,"BEAR, HOCKESSIN",New Castle
ALBUQUERQUE WATER SYSTEM,http://www.abcwua.org/content/view/446/689/,,,"659,736",Surface water,"
PO Box 568
ALBUQUERQUE, NM 87103",505-289-3434,ALBUQUERQUE,Bernalillo
AUBURN WATER WORKS,http://www.auburnalabama.org/wrm-water/Default.aspx?PageID=324,http://www.auburnalabama.org/wrm/,,"65,313",Surface water,"1501 W. Samford Ave.
1501 W. Samford Ave.
AUBURN, AL 36832",334-501-3067,AUBURN,Lee
HNL-WINDWARD-PEARL HARBOR,http://www.boardofwatersupply.com/cssweb/display.cfm?sid=1081,,,"631,389",Ground water,"Honolulu Board of Water Supply
630 S. Beretania St., Rm. 308
HONOLULU, HI 96843",808-748-5080,HONOLULU-WINDWARD-PEARLHARBOR,Honolulu
ADAMS COUNTY REGIONAL WD PWS,http://www.acrwd.com/id62.html,http://www.acrwd.com,,"21,810",Ground water,"PO Box 427
9203 St Rt 136
WEST UNION, OH 45693",937-544-2396,,Adams
"ARKANSAS CITY, CITY OF",http://www.arkansascityks.gov/DocumentCenterii.aspx,http://www.arkansascityks.gov/index.aspx?nid=4,,"11,793",Ground water,"2929 N 2ND ST
ARKANSAS CITY, KS 67005",620-441-4484,ARKANSAS CITY,Cowley
BLOCK ISLAND WATER COMPANY,http://www.blockislandwater.org/ccr.html,http://www.blockislandwater.org,,"9,999",Ground water,"PO BOX 998
BLOCK ISLAND, RI 02807",401-466-3232,NEW SHOREHAM,Washington
