,Utility,Pages,Total Tests,Failed,Warning,Passed,User Verify,Not Applicable,Final
0,AK2224646,9,45,219,19,15,4,19,6.41025641
1,AK2310900,9,45,18,595,9,4,23,33.33333333
2,AL0001265,6,45,209,13,7,4,29,3.240740741
3,AR0000349,2,45,39,4,8,4,27,17.0212766
4,AR0000688,3,45,7,5,14,3,21,66.66666667
5,AZ0407070,2,45,144,17,13,27,21,8.280254777
6,CA0910013,6,45,242,3,14,3,19,5.46875
7,CA1010021,10,45,150,31,13,4,21,7.975460123
8,CA1510020,5,45,215,164,12,3,19,5.286343612
9,CA1910030,8,45,37,641,8,3,26,17.77777778
10,CA2410005,10,45,112,24,13,4,20,10.4
11,CA3110026,5,45,454,359,7,3,24,1.518438178
12,CA4010002,6,45,351,289,12,3,19,3.305785124
13,CA5410016,17,45,417,1311,12,4,16,2.797202797
14,CO0130105,2,45,24,4,12,16,21,33.33333333
15,CO0135291,5,45,189,577,10,4,19,5.025125628
16,CT0473011,14,45,122,20,15,3,19,10.94890511
17,DC0000002,25,45,292,880,7,3,24,2.341137124
18,DE0000557,3,45,231,88,7,5,24,2.941176471
19,FL3494428,3,45,37,4,13,3,20,26
20,FL3594107,37,45,850,45,14,117,13,1.62037037
21,FL4060573,8,45,279,216,12,3,19,4.12371134
22,FL6421144,2,45,14,1,12,4,26,46.15384615
23,FL6424630,2,45,13,2,12,4,26,48
24,FL6510424,2,45,232,3,13,9,19,5.306122449
25,FL6535055,4,45,44,7,12,15,21,21.42857143
26,FL6604862,2,45,12,826,14,18,20,53.84615385
27,GA0390001,4,45,13,9,12,4,22,48
28,GA0810001,6,45,177,12,14,4,21,7.329842932
29,GA1050001,4,45,43,9,3,4,31,6.52173913
30,GA1370002,3,45,153,9,8,4,24,4.968944099
31,GA1510000,5,45,2,5,1,68,36,33.33333333
32,IA3405012,2,45,17,3,14,4,22,45.16129032
33,IA6469042,2,45,12,3,9,14,24,42.85714286
34,ID5240009,9,45,517,14,15,7,19,2.819548872
35,IL0310450,4,45,7,5,14,33,21,66.66666667
36,IL0312520,6,45,10,10,15,3,20,60
37,IL0312880,8,45,7,1281,12,3,22,63.15789474
38,IN5221001,2,45,10,719,12,4,21,54.54545455
39,IN5245015,9,45,217,19,15,7,18,6.465517241
40,IN5247004,4,45,141,7,10,3,24,6.622516556
41,IN5254005,9,45,233,16,15,5,18,6.048387097
42,IN5257008,2,45,136,3,6,2,31,4.225352113
43,IN5279015,7,45,54,7,15,13,19,21.73913043
44,IN5287001,4,45,9,11,5,3,31,35.71428571
45,IN5287004,8,45,194,15,15,5,19,7.177033493
46,KS2004503,4,45,394,11,13,4,19,3.194103194
47,KS2010312,4,45,318,10,8,4,24,2.45398773
48,KS2010313,2,45,10,11,0,3,36,0
49,KY0540936,2,45,77,3,2,4,34,2.53164557
50,KY0960126,3,45,4,3,1,6,36,20
51,KY1130422,3,45,17,4,2,3,34,10.52631579
52,KY1180468,5,45,125,6,8,5,29,6.015037594
53,LA1015040,6,45,244,14,8,3,25,3.174603175
54,LA1023011,6,45,239,18,8,3,25,3.238866397
55,LA1041006,7,45,325,19,8,3,25,2.402402402
56,LA1053013,6,45,254,18,8,3,25,3.053435115
57,LA1073046,7,45,267,20,8,3,25,2.909090909
58,LA1101011,7,45,243,10,11,3,24,4.330708661
59,MA2002000,10,45,16,10,11,5,25,40.74074074
60,MA2151001,10,45,150,24,15,4,18,9.090909091
61,MA2316000,5,45,158,11,13,3,19,7.602339181
