Utility,Pages,Total Tests,Failed,Warning,Passed,User Verify,Not Applicable,ASCORE
AK2224646,9,45,219,19,15,4,19,6.41025641
AK2310900,9,45,18,595,9,4,23,33.33333333
AL0000103,8,45,581,14,8,2,24,1.358234295
AL0000482,4,45,1005,9,14,4,19,1.373895976
AL0001265,6,45,209,13,7,4,29,3.240740741
AR0000101,3,45,443,6,10,3,25,2.207505519
AR0000185,4,45,801,8,10,3,25,1.233045623
AR0000349,2,45,39,4,8,4,27,17.0212766
AR0000512,3,45,372,5,10,3,25,2.617801047
AR0000579,3,45,7,4,1,2,36,12.5
AR0000688,3,45,7,5,14,3,21,66.66666667
AR0000697,3,45,1022,6,10,3,25,0.968992248
AR0000722,2,45,232,3,10,3,25,4.132231405
AR0000735,3,45,473,5,10,3,25,2.070393375
AR0000844,3,45,395,5,10,3,25,2.469135802
AZ0402004,2,45,341,9,14,4,19,3.943661972
AZ0407056,11,45,149,15,14,5,18,8.588957055
AZ0407070,2,45,144,17,13,27,21,8.280254777
CA0110006,8,45,631,17,14,3,19,2.170542636
CA0910013,6,45,242,3,14,3,19,5.46875
CA1010021,10,45,150,31,13,4,21,7.975460123
CA1510020,5,45,215,164,12,3,19,5.286343612
CA1910017,14,45,41,15,2,3,35,4.651162791
CA1910030,8,45,37,641,8,3,26,17.77777778
CA1910194,16,45,293,21,10,13,22,3.300330033
CA2410005,10,45,112,24,13,4,20,10.4
CA3110026,5,45,454,359,7,3,24,1.518438178
CA3210006,3,45,7,4,1,2,36,12.5
CA3410008,2,45,94,4,11,3,25,10.47619048
CA3410013,17,45,656,26,13,15,17,1.943198804
CA3410031,17,45,596,26,13,9,17,2.134646962
CA4010002,6,45,351,289,12,3,19,3.305785124
CA4210020,8,45,737,17,14,7,18,1.864181092
CA5410016,17,45,417,1311,12,4,16,2.797202797
CA5610008,6,45,10,7,1,3,36,9.090909091
CO0121455,6,45,402,12,14,4,19,3.365384615
CO0130105,2,45,24,4,12,16,21,33.33333333
CO0135291,5,45,189,577,10,4,19,5.025125628
CT0473011,14,45,122,20,15,3,19,10.94890511
CT0590011,12,45,707,16,14,61,17,1.941747573
DC0000002,25,45,292,880,7,3,24,2.341137124
DE0000557,3,45,231,88,7,5,24,2.941176471
FL2020204,4,45,123,8,15,3,20,10.86956522
FL3350346,4,45,389,9,14,5,19,3.473945409
FL3494428,3,45,37,4,13,3,20,26
FL3590205,2,45,382,4,15,2,19,3.778337531
FL3594107,37,45,850,45,14,117,13,1.62037037
FL4060573,8,45,279,216,12,3,19,4.12371134
FL4134365,2,45,1601,77,3,3,31,0.187032419
FL6421144,2,45,14,1,12,4,26,46.15384615
FL6424630,2,45,13,2,12,4,26,48
FL6510424,2,45,232,3,13,9,19,5.306122449
FL6535055,4,45,44,7,12,15,21,21.42857143
FL6604862,2,45,12,826,14,18,20,53.84615385
GA0090000,4,45,8,5,1,2,36,11.11111111
GA0390001,4,45,13,9,12,4,22,48
GA0510229,9,45,268,12,10,4,23,3.597122302
GA0810001,6,45,177,12,14,4,21,7.329842932
GA1050001,4,45,43,9,3,4,31,6.52173913
GA1370002,3,45,153,9,8,4,24,4.968944099
GA1510000,5,45,2,5,1,68,36,33.33333333
GA1850016,7,45,11,8,1,3,36,8.333333333
GA2150000,16,45,252,22,15,4,18,5.617977528
GA2410118,5,45,9,6,1,2,36,10
IA3070078,2,45,44,3,7,3,30,13.7254902
IA3405012,2,45,17,3,14,4,22,45.16129032
IA6469042,2,45,12,3,9,14,24,42.85714286
IA8486053,3,45,27,4,6,4,29,18.18181818
IA8584000,2,45,6,3,1,2,36,14.28571429
ID5240009,9,45,517,14,15,7,19,2.819548872
ID5340017,2,45,142,3,7,16,29,4.697986577
ID5420058,2,45,115,4,15,7,19,11.53846154
IL0290250,5,45,400,11,10,2,24,2.43902439
IL0310450,4,45,7,5,14,33,21,66.66666667
IL0311860,3,45,208,5,10,2,24,4.587155963
IL0312520,6,45,10,10,15,3,20,60
IL0312730,6,45,225,9,12,9,18,5.063291139
