ID,State Code,County Code,Name,State Name,PWS ID,PWS Name,EPA Region,PWS Type,Population Served Count,Cities Served,Size,Oversample,URL of CCR,Most recent year?,Translation available?,RSCORE,TSCORE,Pages,Total Tests,Failed,Warning,Passed,User Verify,Not Applicable,ASCORE,Access Tags,Readability Tags
1,1,9,Blount,Alabama,AL0000103,ONEONTA UTILITIES BOARD,Region 4,Community water system,19737,ONEONTA,Large,0,https://oneontautilities.com/2019_oneonta_ccr.html,2020,No,24.99,0,8,45,581,14,8,2,24,1.358234295,Autotagged,Acceptable
2,1,47,Dallas,Alabama,AL0000482,NORTH DALLAS WATER AUTHORITY,Region 4,Community water system,8838,SELMA,Medium,0,https://northdallaswater.net/documents/1185/North_Dallas_Co_2020_CCR.pdf,2020,No,-59.38,0,4,45,1005,9,14,4,19,1.373895976,Autotagged,Acceptable
3,1,123,Tallapoosa,Alabama,AL0001265,ALEXANDER CITY WATER DEPARTMENT,Region 4,Community water system,29565,ALEXANDER CITY,Large,0,https://alexandercityal.gov/sites/default/files/fileattachments/utilities/page/8241/alexander_city_2019_annual_water_quality_report.pdf,2019,No,-20.8,0,6,45,209,13,7,4,29,3.240740741,Original,Acceptable
4,2,170,Matanuska-Susitna Borough,Alaska,AK2224646,WASILLA WATER SYSTEM,Region 10,Community water system,18412,WASILLA,Large,0,https://www.cityofwasilla.com/home/showdocument?id=23060,2020,No,19.98,0,9,45,219,19,15,4,19,6.41025641,Original,Acceptable
5,2,90,Fairbanks North Star Borough,Alaska,AK2310900,COLLEGE UTILITIES CORPORATION,Region 10,Community water system,"27,000",FAIRBANKS,Large,0,http://www.akwater.com/cuc-ccr.pdf,2020,No,6.99,0,9,45,18,595,9,4,23,33.33333333,Original,Acceptable
6,4,13,Maricopa,Arizona,AZ0407056,EPCOR WATER - PARADISE VALLEY/SCOTTSDALE,Region 9,Community water system,12000,PARADISE VALLEY,Large,1,https://www.epcor.com/products-services/water/water-quality/water-quality-reports-usa/wqreports/wq-paradise-valley-2019.pdf,2020,Yes,17.64,100,11,45,149,15,14,5,18,8.588957055,Autotagged,Acceptable
7,4,13,Maricopa,Arizona,AZ0407070,SUNRISE WATER COMPANY,Region 9,Community water system,4765,PEORIA,Medium,1,https://jdcwater.com/documents/563/Sunrise_Water_Quality_Report_2019.pdf,2020,No,-48.41,0,2,45,144,17,13,27,21,8.280254777,Original,Acceptable
8,4,3,Cochise,Arizona,AZ0402004,ARIZONA WATER CO - SIERRA VISTA,Region 9,Community water system,10002,SIERRA VISTA,Large,0,https://www.azwater.com/files/water-quality/ccr-sierra-vista-2019.pdf,2020,No,20.69,0,2,45,341,9,14,4,19,3.943661972,Autotagged,Acceptable
9,5,23,Cleburne,Arkansas,AR0000579,TUMBLING SHOALS WATER ASSOC,Region 6,Community water system,4890,-,Medium,0,https://tsws.myruralwater.com/documents/1048/CCF06022020.pdf,2020,No,0,0,3,45,7,4,1,2,36,12.5,Autotagged,Error
10,5,131,Sebastian,Arkansas,AR0000512,BARLING WATERWORKS,Region 6,Community water system,4583,-,Medium,0,https://www.ark.org/health/eng/ccr/512.pdf,2020,No,-72.94,0,3,45,372,5,10,3,25,2.617801047,Autotagged,Acceptable
