,Utility,FK Score,FK Grade Level
0,AK2224646,19.98,21
1,AK2310900,6.99,26
2,AL0000103,24.99,21.2
3,AL0000482,-59.38,41.1
4,AL0001265,-20.8,32.5
5,AR0000101,-61.88,50.4
6,AR0000185,-78.32,56.7
7,AR0000349,-56.19,48.2
8,AR0000512,-72.94,54.6
9,AR0000579,N/A,N/A
10,AR0000688,-45.74,44.2
11,AR0000697,-76.49,56
12,AR0000722,-40.63,44.3
13,AR0000735,-42.18,42.8
14,AR0000844,-37.41,41
15,AZ0402004,20.69,20.7
16,AZ0407056,17.64,21.9
17,AZ0407070,-48.41,43.1
18,CA0110006,-8.66,25.8
19,CA0910013,-501.27,219.2
20,CA1010021,-46.95,44.7
21,CA1510020,23.36,21.8
22,CA1910017,-1288.96,536.4
23,CA1910030,-9.67,32.4
24,CA1910194,-32.81,41.3
25,CA2410005,-7.37,29.4
26,CA3110003,-189.53,101.5
27,CA3110026,21.54,22.5
28,CA3210006,N/A,N/A
29,CA3410008,29.11,17.5
30,CA3410013,-0.06,26.6
31,CA3410031,8.61,25.4
32,CA3710015,16.53,22.3
33,CA4010002,11.25,24.4
34,CA4210020,-114.01,72.5
35,CA5410016,8.61,25.4
36,CA5610008,-47.99,20.2
37,CO0121455,-35.69,40.3
38,CO0130105,-354.8,162.9
39,CO0135291,6.14,24.3
40,CT0473011,1.27,26.1
41,CT0590011,-38.8,43.6
42,DC0000002,18.39,23.7
43,DE0000557,-1.82,25.2
44,FL2020204,-126.43,75.2
45,FL3350346,27.63,20.1
46,FL3494428,20.28,20.9
47,FL3590205,21.54,22.5
48,FL3594107,-34.91,38
49,FL4060573,30.98,18.9
50,FL4134365,23.47,21.7
51,FL4501559,19.51,23.3
52,FL6421144,-49.09,45.5
53,FL6424630,-28.79,37.7
54,FL6510424,-433.13,195.1
55,FL6535055,-250.33,118.7
56,FL6604862,-13.83,34
57,GA0090000,N/A,N/A
58,GA0390001,19.44,19.1
59,GA0510229,34.22,17.6
60,GA0810001,24.85,19.1
61,GA1050001,-7.34,25.3
62,GA1370002,-178.57,91.1
63,GA1510000,-224.48,65.2
64,GA1850016,-15.35,34.6
65,GA2150000,23.5,23.8
66,GA2410118,N/A,N/A
67,IA3070078,-161.11,90.6
68,IA3405012,-276.65,132.9
69,IA6469042,11.82,22.1
70,IA8486053,-184.35,99.5
71,IA8584000,N/A,N/A
72,ID5240009,11.55,24.2
73,ID5340017,22.28,18.1
74,ID5420058,38.28,16
75,IL0290250,-22.66,37.4
76,IL0310450,-10.82,30.8
77,IL0311860,43.26,14.1
78,IL0312520,-23.85,33.7
79,IL0312730,-0.97,33.2
