"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"229 PARKS HIGHWAY RESTAURANT","","","","62","Ground water","P.O. Box 41
DENALI PARK, AK 99755","907-354-1113","DENALI PARK","Denali Borough"
"4-LANDS BAR & LIQUOR STORE","","","","100","Ground water","P.O. BOX 8583
NIKISKI, AK 99635","907-776-5833","NIKISKI","Kenai Peninsula Borough"
"49TH STATE BREWING COMPANY HEALY","","","","524","Ground water","P.O. Box 340
HEALY, AK 99743","907-712-7124","HEALY","Denali Borough"
"ABUNDANT LIFE ASSEMBLY OF GOD","","","","154","Ground water","P.O. BOX 781
STERLING, AK 99672","907-262-7266","STERLING","Kenai Peninsula Borough"
"AC ALASKA COMMERCIAL STORE","","","","475","Ground water","P.O. BOX 908
BETHEL, AK 99559","907-543-2664","BETHEL","Bethel Census Area"
"ACAPULCO RESTAURANT","","","","32","Ground water","44758 Sterling Hwy.
Ste. A
SOLDOTNA, AK 99669","907-260-5666","SOLDOTNA","Kenai Peninsula Borough"
"ADAK UTILITIES","","","","325","Surface water","PO Box 2011
ADAK, AK 99546","907-592-4500","ADAK","Aleutians West Census Area"
"AER WATER TANKER #14-242","","","","100","Surface water purchased","Lot 30
Spine Rd
PRUDHOE BAY, AK 99734","907-659-2000","PRUDHOE BAY","North Slope Borough"
"AER WATER TANKER #14-243","","","","100","Surface water purchased","Lot 30
Spine Rd
PRUDHOE BAY, AK 99734","907-659-2000","PRUDHOE BAY","North Slope Borough"
"AFC POTABLE DELIVERY TRAILER 25-550","","","","120","Surface water purchased","Program Manager, QHSE
6250 S. Airpark Place
ANCHORAGE, AK 99502","907-245-6109","DEADHORSE","North Slope Borough"
"AFC POTABLE TRUCK #25-629","","","","200","Surface water purchased","Program Manager, QHSE
6250 S. Airpark Place
ANCHORAGE, AK 99502","907-245-6109","PRUDHOE BAY","North Slope Borough"
"AFC POTABLE TRUCK 22-275","","","","50","Surface water purchased","P.O. Box 224889
ANCHORAGE, AK 99522-4889","907-562-5303","DEADHORSE, PRUDHOE BAY","North Slope Borough"
