"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"ABBEVILLE WATER WORKS & SEWER BOARD","","","","3,828","Ground water","
589 Industrial Park Road
ABBEVILLE, AL 36310","334-585-3208","ABBEVILLE","Henry"
"ADDISON WATER WORKS","","","","2,553","Surface water purchased","
P O BOX 98
ADDISON, AL 35540","256-747-2971","ADDISON","Winston"
"AKRON WATER SYSTEM","","","","570","Ground water purchased","207 1st avenue south
AKRON, AL 35441","205-372-3148","AKRON","Hale"
"ALA. WAREHOUSE/LOWER POOL #2","","","","45","Ground water","
427 Eufaula Rd.
FORT GAINES, GA 39851","229-768-2516","SHORTERVILLE","Henry"
"ALABAMA DOT/I-10 AL/FL WELCOME CENTER","","","","500","Ground water","
47450 Rabun Road
BAY MINETTE, AL 36507","251-937-2086","BAY MINETTE","Baldwin"
"ALABASTER WATER BOARD","","","","39,474","Surface water purchased","213 1st Street North
213 1st Street North
ALABASTER, AL 35007","205-663-6155","ALABASTER","Shelby"
"ALBERTVILLE UTILITIES BOARD","","","","33,060","Surface water","210 West Main Street
P O BOX 130
ALBERTVILLE, AL 35950","256-878-3761","ALBERTVILLE","Marshall"
"ALEXANDER CITY WATER DEPARTMENT","","","","29,565","Surface water","
P O BOX 552
ALEXANDER CITY, AL 35010","256-329-6730","ALEXANDER CITY","Tallapoosa"
"ALICEVILLE WATER & SEWER BOARD","","","","5,655","Ground water","311 3rd avenue n.w.
ALICEVILLE, AL 35442","","ALICEVILLE","Pickens"
"ALLEN AAF","","","","30","Ground water","American Water Enterprises
9801 Red Cloud Rd
FT. RUCKER, AL 36362","334-503-1761","","Houston"
"ALLGOOD WATER WORKS (TOWN OF)","","","","816","Ground water","
PO Box 150
ALLGOOD, AL 35013","205-274-7138","ALLGOOD","Blount"
"ALTOONA WATER & SEWER BOARD","","","","1,143","Ground water","
P.O. Box 723
ALTOONA, AL 35952","205-589-4788","ALTOONA","Etowah"
"ANDALUSIA (UTILITIES BOARD OF)","","","","15,114","Ground water","
P.O. Box 790
ANDALUSIA, AL 36420","334-222-5036","ANDALUSIA","Covington"
"ANNISTON WATER & SEWER BOARD","","","","55,368","Surface water","
PO Box 2268
ANNISTON, AL 36202","256-241-5005","ANNISTON","Calhoun"
"ARAB WATER WORKS BOARD","","","","34,800","Surface water","
526 Cullman Road
ARAB, AL 35016","256-505-2103","ARAB","Marshall"
"ARDMORE WATER SYSTEM","","","","3,600","Ground water","
P. O. BOX 26
ARDMORE, TN 38449","256-423-6161","ARDMORE","Limestone"
"ARITON WATER WORKS","","","","1,242","Ground water","
P.O. Box 53
ARITON, AL 36311","334-762-2266","ARITON","Dale"
"ARLEY WATER WORKS","","","","8,673","Surface water","PO BOX 146
ARLEY, AL 35541","205-387-9037","ARLEY - 3600","Winston"
"ASBURY WATER SYSTEM","","","","3,786","Surface water purchased","
2202 ASBURY RD
ALBERTVILLE, AL 35951","256-878-9158","ALBERTVILLE","Marshall"
"ASHFORD WATER WORKS","","","","3,768","Ground water","
P.O. Box 428
ASHFORD, AL 36312","","ASHFORD","Houston"
"ASHLAND WATER & SEWER BOARD","","","","2,925","Surface water purchased","160 Rosewood Lane
ASHLAND, AL 36251","256-354-4036","ASHLAND","Clay"
"ASHVILLE WATER AND SEWER","","","","4,107","Ground water","HON. DERRICK MOSTELLA, MAYOR
P.O. Box 1448
ASHVILLE, AL 35953","205-594-4151","ASHVILLE","St. Clair"
"ATHENS UTILITIES","","","","27,534","Surface water","
PO Box 800
GADSDEN, AL 35902","256-543-2884","ATHENS","Limestone"
"ATTALLA WATER WORKS BOARD","","","","8,415","Groundwater under influence of surface water","
509 Fourth Street
ATTALLA, AL 35954","256-538-3777","ATTALLA","Etowah"
"AUBURN WATER WORKS","http://www.auburnalabama.org/wrm-water/Default.aspx?PageID=324","http://www.auburnalabama.org/wrm/","","65,313","Surface water","1501 W. Samford Ave.
1501 W. Samford Ave.
AUBURN, AL 36832","334-501-3067","AUBURN","Lee"
"AUTAUGA CO WATER AUTHORITY","","","","7,710","Ground water","
P O BOX 680294
PRATTVILLE, AL 36068","334-365-2804","PRATTVILLE","Autauga"
"AUTAUGAVILLE WATER WORKS","","","","1,494","Ground water","
P O BOX 237
AUTURGAVILLE, AL 36003","334-365-9563","AUTAUGAVILLE","Autauga"
"AVON WATER SYSTEM","","","","504","Ground water purchased","
P O BOX 462
ASHFORD, AL 36312","334-899-3715","ASHFORD","Houston"
"BAKERHILL WATER AUTHORITY","","","","7,128","Ground water","
1910 Highway 131
BAKERHILL, AL 36027","334-687-6444","BAKERHILL","Barbour"
"BALDWIN BAPTIST CAMP","","","","250","Ground water","Mr. Gil Johnson, Director
8749 Baptist Camp Rd.
ELBERTA, AL 36520","251-987-5100","ELBERTA","Baldwin"
"BANKS WATER SYSTEM","","","","1,260","Ground water","
P O BOX 6666
BANKS, AL 36005","334-243-5768","BANKS","Pike"
"BASF CORPORATION","","","","1,300","Ground water","
1379 Ciba Road
MCINTOSH, AL 36553","251-436-2000","MCINTOSH","Washington"
"BAYOU LA BATRE UTILITIES","","","","8,100","Ground water","
13231 North Wintzell Avenue
BAYOU LA BATRE, AL 36509","251-824-2172","BAYOU LA BATRE","Mobile"
"BEAR CREEK WATER WORKS","","","","3,084","Surface water purchased","
340 MAIN STREET
BEAR CREEK, AL 35543","205-486-3842","","Marion"
"BEATRICE WATER SYSTEM","","","","591","Ground water","P.O. BOX 56
BEATRICE, AL 36425","251-789-2241","BEATRICE","Monroe"
"BEAUREGARD WATER AUTHORITY","","","","11,178","Ground water","
P.O. Box 271
OPELIKA, AL 36803-0271","334-749-4900","OPELIKA","Lee"
"BELFOREST WATER SYSTEM","","","","13,380","Ground water","
9080 County Road 64
DAPHNE, AL 36526","251-626-5554","DAPHNE","Baldwin"
"BELK WATER SYSTEM","","","","1,104","Surface water purchased","
P O BOX 1
BELK, AL 35545","205-932-9292","BELK","Fayette"
"BERRY WATER DEPARTMENT, TOWN OF","","","","4,716","Surface water","
30 SCHOOL AVE
BERRY, AL 35546","205-689-4562","BERRY","Fayette"
"BESSEMER WATER SERVICE","","","","85,113","Surface water purchased","1600 1st Ave North
P O BOX 1246
BESSEMER, AL 35020","205-481-4333","BESSEMER","Jefferson"
